unique_id,hotel,rating,review,response,triptype,dateofstay,responder,respondeddate,Brand,apology_num_Raters,apology_score,apology_bin,genuine_num_Raters,genuine_score,genuine_bin,offense_num_Raters_x,offense_score_x,offense_bin_x,sincere_num_Raters,sincere_score,sincere_bin,truly_num_Raters,truly_score,truly_bin,satisfied_num_Raters,satisfied_score,satisfied_bin,visit_num_Raters,visit_score,visit_bin,offense_num_Raters_y,offense_score_y,offense_bin_y,personalization_num_Raters,personalization_score,personalization_bin,severity_num_Raters,severity_score,severity_bin,WC_review,WC_diff,Segment,BOW_Apology,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP
1,AC Hotel New York Downtown,30,"My 1st time in New York and my friends, family & I decided to stay at AC. When we arrived to our surprise the room was ready & we were able to check-in. The front desk staff were mediocre gave us 1 key for 3 people & sent us on our way. The room was very clean I noticed that right away but the room was on the small side but very modern. Two of the workers were extremely nice. There was a young women at the reception desk she had glasses & blond hair I didn't catch her name, she always smiled and waved when ever we came in & out the hotel. I meet one of the maintenance men Shakeem I asked him where could I go to get ice and he told me the 3rd floor and he also told me all the amenities the hotel offers. He showed me the fabulous lounge on the 2nd floor and told me where the gym was located. I was stunned I thought I would’ve gotten told these things as I was checking in. Anytime I saw him he asked if we were ok & did we need anything. He even showed me on my map all the places I needed to go. Overall the location was great, awesome views from the room! Bar had good drinks but very dull atmosphere. Didn’t get to taste the food but it’s good you do offer breakfast. I love the fact that you need your room key to enter the building at night. I can see myself staying here again. I do appreciate the customer service I received from Shakeem & the young lady at the reception.","Dear Alisunshine20,Welcome to New York City and thank you for choosing us to be your hotel to experience the city for the first time. Our goal is to exceed our guests' expectations so I regret that you found us to be lacking in a couple of aspects of your stay. We appreciate you recognizing our strengths while providing us with some areas of opportunity. I hope we have the chance to better serve you on a future visit.Sincerely,Craig KeppleGeneral Manager",Trip type: Traveled with friends,Date of stay: December 2019,"Response from ConcordHospitality, General Manager at AC Hotel New York Downtown","Responded Jan 12, 2020",Marriot,8,10.25,TRUE,8,9.625,TRUE,8,14,TRUE,8,10.875,TRUE,8,6.375,TRUE,6,21,TRUE,6,22.16666667,TRUE,6,0.833333333,TRUE,6,15.33333333,TRUE,6,-14.83333333,FALSE,278,-195,1,0,83,73.1,99,13.52,99,20.75,18.07,89.16,66.27,55.42,20.48,19.28,2.41,9.64,7.23,0,0,1.2,15.66,6.02,2.41,16.87,4.82,2.41,3.61,0,10.84,4.82,3.61,18.07,12.05,3.61,2.41,9.64,0,9.64,4.82,0,3.61,2.41,0,0,0,14.46,13.25,1.2,3.61,2.41,1.2,0,0,1.2,0,28.92,6.02,2.41,3.61,0,0,1.2,19.28,0,1.2,0,0,0,0,0,0,1.2,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,1.2,1.2,0,2.41,0,0,6.02,4.82,0,0,4.82,0,0,0,3.61,2.41,1.2,3.61,0,0,0,0,0,8.43,4.82,2.41,0,0,1.2,0
2,AC Hotel New York Downtown,10,"I feel as if I've been scammed and cheated on my booking rates. I've tried for (2) months to get this resolved, they've had me like a ping pong ball going back n forth spending hours of my day on the phone speaking to and emailing different reps both onsite Hotel and Marriot customer service line. The end result, I was never refunded what I was overcharged much less no one had the courtesy of getting back after all my attempts to reach out and get some answers. A million Hotels to choose from in NYC and based on my AAA membership discount I chose this Hotel, the rates offered were $205 night and after applying my membership the rates went down to $143 night. Total cost inclusive of 3 nights, taxes & fees $505.31. (Cant beat those rates thus I booked immediately)To my surprise when I checked out, the next day what I was charged on my bank card was $794.98! ($289.67 over rates offered) When I called the Hotel directly I was told ""We're sorry as we are unable to apply the AAA discount now that you have checked out of our Hotel""SERIOUSLY? They did NOT honor it to begin with and now telling me they cannot correct their mistake?!Mind you the DAILY CONSTRUCTION noise level at all hours. NEVER AGAIN AND WILL NEVER RECOMMEND THIS HOTEL-","Dear SeaTurtle01,Thank you for choosing us for your recent trip to New York. We appreciate you taking the time to post a review on your experience with us so that we can continue to put our best foot forward and continue creating great experiences for the guests of our hotel. After speaking with several members of our management team we have looked into your issue and verified that the rates that you were charged were indeed the rates that you originally booked. There were no changes at all to your reservation since the time of booking. We are always willing to see both sides of every situation, but after looking at our records and speaking with Marriott Reservations that you originally booked with the rates that you have booked are consistent with what was originally confirmed. In an effort to be fair and consistent with all of our guest’s we do honor and stand by the rates that you booked originally booked. I understand your frustrations and wish there was more that we could do to help this time around.Sincerely,Nick CooperAssistant General Manager",Trip type: Traveled as a couple,Date of stay: December 2018,"Response from ConcordHospitality, General Manager at AC Hotel New York Downtown","Responded Feb 21, 2019",Marriot,7,-6.428571429,FALSE,7,-7.571428571,FALSE,7,7,TRUE,7,-8.428571429,FALSE,7,-8.714285714,FALSE,1,11,TRUE,1,11,TRUE,1,1,TRUE,1,23,TRUE,1,24,TRUE,231,-44,1,0,187,46.7,99,19.44,84.18,26.71,20.32,87.17,73.8,60.96,19.25,13.9,0.53,6.95,6.42,0,0,5.35,18.72,4.81,0.53,16.58,7.49,5.88,5.88,0.53,13.37,4.81,5.35,12.83,9.09,2.14,1.6,12.3,2.67,9.63,2.67,3.21,1.6,0,0.53,0.53,0,5.35,4.81,0.53,1.07,0.53,0.53,0,0.53,0,0,19.79,4.28,2.14,1.07,0,0.53,1.6,15.51,0,1.07,0,0,0,0,0,0,2.67,0,0,2.67,0,0,0.53,0,0,0,0,0,0,0,0,0,0.53,0.53,0,0,0,0,0,0.53,4.81,5.88,0,0.53,3.74,1.6,0,0,6.95,3.21,1.6,0.53,0,0,0,0,0,5.35,3.74,1.6,0,0,0,0
3,AC Hotel New York Downtown,30,"Rooms are lovely, clean and minimalistic. Staff is nice, really make you feel welcome. One piece of advice though, check your sheets when you get your room. There were a lot of short and long hairs in my sheets. Clearly the sheets had not been changed after the previous guest. Mistakes happen, but still most unpleasant.The aircon/heating is difficult to use and does not function consistently. Windows are not very tight, and the room cannot be dimmed properly.","Dear Dolcevitax,We are delighted to hear that you enjoyed our modern and minimalistic design. I'm very sorry for the lapses that you encountered with our linens and appreciate your feedback regarding our a/c. Your sincere review fosters improvements for future stays. Thank you for choosing us and we hope to provide you with a flawless stay upon your return to NYC.Sincerely,Craig KeppleGeneral Manager",Trip type: Traveled on business,Date of stay: January 2019,"Response from ConcordHospitality, General Manager at AC Hotel New York Downtown","Responded Feb 22, 2019",Marriot,4,17.25,TRUE,4,11.5,TRUE,4,19,TRUE,4,12,TRUE,4,9.75,TRUE,5,15.2,TRUE,5,1.6,TRUE,5,1,TRUE,5,13,TRUE,5,7.6,TRUE,80,-13,1,1,67,50.43,99,37.86,99,16.75,25.37,85.07,64.18,50.75,23.88,20.9,1.49,8.96,10.45,0,0,2.99,16.42,4.48,0,13.43,2.99,2.99,4.48,0,10.45,5.97,0,13.43,10.45,1.49,1.49,7.46,0,7.46,5.97,0,1.49,1.49,0,0,0,13.43,13.43,0,5.97,5.97,0,0,0,0,0,35.82,13.43,5.97,4.48,0,1.49,2.99,20.9,0,0,0,0,0,0,0,0,4.48,0,0,4.48,0,0,0,0,0,0,0,0,0,0,0,0,1.49,0,1.49,0,0,0,0,0,1.49,7.46,0,1.49,5.97,0,1.49,0,2.99,1.49,5.97,2.99,0,0,0,0,0,11.94,5.97,2.99,0,0,1.49,1.49
4,AC Hotel New York Downtown,20,"Please skip this property. I arrived at the hotel and the exterior was very nice and so was the lobby. There were 3 desk agents two were busy and a third, Matina. She took 4 min to acknowledge me. She did apologize and proceeded to check me in. She failed to advise that I was checked into a handicap room. No big deal, as everything appeared to still be fine. Once I was checked in, I proceeded to freshen up for the evening and the face towel was dirty. The sink in the bathroom was half cleaned. When I attempted to shower, the shower gel bottle was not even half way full, so I used the bar soap instead. Worst of all there was some type of red substance on the pillow case and the sheets were dirty. Catalina, the guest services manager, took over 40 min to respond to my request to change my room and initially only offered to refund half of my points used to pay for the room. Initially she only apologized and thanked me for letting her know of the problem. I had to request the room move and the hotel was not sold out. I was later told I would be refunded all of my points and was finally switched to a new room.","Dear DFWtrave,I'm very sorry for your poor experience at our hotel. Our goal is to provide every guest with a fresh room and warm hospitality; I regret that we let you down in both areas. We appreciate your feedback as it allows us to monitor and improve. It was our pleasure to provide you with a good-faith measure for our lapses and we hope to have the opportunity to serve you better in the future.Sincerely,Craig KeppleGeneral Manager",Trip type: Traveled solo,Date of stay: November 2019,"Response from ConcordHospitality, General Manager at AC Hotel New York Downtown","Responded Nov 30, 2019",Marriot,5,18.8,TRUE,5,6.4,TRUE,5,23.2,TRUE,5,7,TRUE,5,3.4,TRUE,3,-1.666666667,FALSE,3,-21.66666667,FALSE,3,1,TRUE,3,1.666666667,TRUE,3,26.66666667,TRUE,220,-139,1,1,80,62.1,99,4.48,99,20,20,86.25,67.5,57.5,22.5,18.75,2.5,10,6.25,0,0,3.75,16.25,5,0,17.5,5,2.5,5,0,7.5,7.5,2.5,20,11.25,5,3.75,7.5,1.25,6.25,2.5,1.25,2.5,1.25,0,0,0,16.25,13.75,2.5,5,3.75,1.25,0,0,1.25,0,30,10,3.75,1.25,0,0,1.25,18.75,0,1.25,0,0,0,0,0,0,3.75,0,1.25,2.5,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0,0,0,2.5,0,0,3.75,6.25,0,0,5,0,0,1.25,1.25,2.5,5,2.5,0,0,0,0,0,11.25,5,2.5,0,0,1.25,2.5
5,AC Hotel by Marriott Boston Cleveland Circle,30,"Had to wait 40 minutes until my room was ready, not acceptable. After travelling all day, that is not what I want! I thought it meant something to be a platinum Marriott reward member. I was not offered even a water as I waited. My profile states high floor away from elevator. Well, I was on 2nd floor next to elevator. Also, very poor lighting in room.","Hi @rugwag,Thank you very much for taking the time to give us your feedback. I want to apologize for falling short of your expectations. There are no words I can say that will give you the experience you deserve, especially as a Platinum Elite Bonvoy Member. As a teachable moment I have addressed these concerns with my team members to ensure this was an isolated issue.Once again I apologize for your experience and if there is anything i can do for you in the future, do not hesitate to reach out to me.Thank you for your feedback,Vinny SassoneGeneral Manager",,Date of stay: June 2019,"Response from Adventure38791114216, General Manager at AC Hotel by Marriott Boston Cleveland Circle","Responded Jun 15, 2019",Marriot,7,24.71428571,TRUE,7,14.85714286,TRUE,7,18.57142857,TRUE,7,14,TRUE,7,12.57142857,TRUE,1,20,TRUE,1,-10,FALSE,1,1,TRUE,1,10,TRUE,1,20,TRUE,67,36,1,2,103,41.44,95.04,45.35,33.82,25.75,19.42,90.29,69.9,61.17,20.39,16.5,6.8,0.97,8.74,0,0,3.88,16.5,5.83,0.97,15.53,8.74,5.83,3.88,1.94,17.48,0.97,1.94,7.77,3.88,0,3.88,11.65,0.97,10.68,1.94,0,3.88,2.91,0,1.94,0,4.85,2.91,1.94,0,0,0,0,0,0,0,26.21,13.59,4.85,4.85,0,0.97,6.8,13.59,0,0,0,0,0,0,0,0,3.88,0,0,3.88,0,0,0,0,0,0,0,0,0,0,0,0,0.97,0.97,1.94,0,0,0,0.97,0,5.83,6.8,0.97,0.97,5.83,0,0,0,3.88,0.97,5.83,2.91,0,0,0,0,0,9.71,4.85,3.88,0,0,0,0.97
6,AC Hotel by Marriott Boston Cleveland Circle,30,"At first we were excited that this new hotel was opening up just a few blocks from where our grandsons and family live on Beacon Street... how convenient! Then we arrived this week for our first overnight stay. First and foremost, you need to know that the south side of the hotel is right next to the T. So, all the even numbered rooms are ""track-side"". Also, the lower the number, the closer to the tracks the room will be. So, we were given room 202, the closest to the T tracks you can get. The T runs until about midnight, then starts again around 5:30 AM, and once it gets started, there are many, many trains. For $300/night, guests deserve better!The second important thing visitors should be aware of in advance is the $40/night valet charge for parking. There is virtually no alternative to park elsewhere in the area since most parking spots are for residents. There are a few overnight meters where you can park from 8PM to 8AM, but the only ones I know are several blocks away on Beacon Street, so you need to wait to park your car after 8:00PM and then be sure to get back to the spot to take your car out the next morning before 8:00.These two major issue aside, the hotel is new and clean, and the rooms are a nice size with a roomy bath (at least in our room). Each room has a self contained HVAC unit that is a bit on the noisy side. So, if you want to get to sleep in peace, set the thermostat low before bed, then bump it back up to the temperature you want overnight as you climb into bed. That way you may be able to fall asleep without having to hear the system come on and go off. The room comes with breakfast, but we were anxious to leave and only took away coffee. Remember.... odd numbered rooms are quieter!!!","Dear GuestThank you for the rating and the comments regarding your recent stay at our property in Cleveland Circle.We appreciate all the specific input and though we can't change the location we may be able to adjust the AC units to be more quiet. Your input is truly appeciated.Thank you for taking the time to comment as feedback is key and we hope to see again very soon at any of our Colwen Group Properties.Sincerely,The Customer Service TeamColwen Hotel Group",Trip type: Traveled as a couple,Date of stay: August 2018,"Response from ColwenHotels-MGMT, Guest Relations Manager at AC Hotel by Marriott Boston Cleveland Circle","Responded Aug 26, 2018",Marriot,7,0.571428571,TRUE,7,-2.571428571,FALSE,7,3.714285714,TRUE,7,-3.428571429,FALSE,7,-0.142857143,FALSE,9,8,TRUE,9,-7.888888889,FALSE,9,0.777777778,TRUE,9,8.555555556,TRUE,8,5.125,TRUE,339,-255,1,0,84,63.81,99,18.08,95.71,42,19.05,84.52,65.48,54.76,11.9,11.9,0,7.14,4.76,0,0,0,16.67,8.33,0,13.1,7.14,7.14,5.95,1.19,13.1,5.95,2.38,10.71,9.52,1.19,0,14.29,1.19,13.1,3.57,1.19,2.38,3.57,1.19,3.57,0,5.95,5.95,0,2.38,2.38,0,0,0,0,0,26.19,8.33,3.57,3.57,0,0,3.57,17.86,0,1.19,0,0,0,0,0,0,3.57,0,0,3.57,1.19,0,0,0,0,0,0,0,0,0,0,0,1.19,1.19,0,0,0,0,0,0,4.76,5.95,0,0,3.57,1.19,1.19,0,4.76,0,3.57,3.57,0,0,0,0,0,7.14,4.76,1.19,0,0,1.19,0
7,AC Hotel by Marriott Boston Cleveland Circle,30,"I stayed at this hotel for 3 nights while and chose it for it's location to Boston College. The rooms were a bit too modern for me (no carpets, minimal lighting, not much furniture to sit on) but they were very clean and spacious. However, the price we paid was high, given that it is very noisy room. The hotel is directly across the street from a D line T stop and the end of the line C. So we hear squeaky subways constantly, late hours of the night while trying to fall asleep and early hours of morning. Maybe they run all night, I don't know.Also there is no place to walk around. If you want the location to hop right on the T, then it's good, otherwise, pass for a hotel with a better and quieter location.Also felt with the $40 parking added to the room it was a bit pricy total. No real lobby or common area and no good furniture in the rooms (too minimal and modern to be comfortable after a long day)","Dear Michele,We appreciate the comments regarding your recent stay at our property in Cleveland Circle.Sorry you did not enjoy the modern style of the property and European decor. We realize this style is not for everyone, sorry you were not pleased.Feedback is key in this business and we thank you for taking the time to comment.We do hope we get another opportunity to earn your business at any of our Colwen group Properties.SincerelyThe Customer Service TeamColwen hotel group",Trip type: Traveled with family,Date of stay: November 2018,"Response from CindyM2891, Guest Relations Manager at AC Hotel by Marriott Boston Cleveland Circle","Responded Nov 28, 2018",Marriot,5,24.4,TRUE,5,2.2,TRUE,5,13.4,TRUE,5,-3.2,FALSE,5,-4,FALSE,8,12,TRUE,8,-1.625,FALSE,8,0,FALSE,8,12.875,TRUE,6,-8.5,FALSE,180,-97,1,1,83,56.34,99,25.3,98.79,41.5,26.51,84.34,65.06,49.4,19.28,14.46,0,8.43,6.02,0,0,4.82,14.46,4.82,0,12.05,6.02,0,2.41,3.61,13.25,8.43,1.2,13.25,10.84,2.41,0,13.25,1.2,12.05,4.82,0,1.2,2.41,0,4.82,0,7.23,7.23,0,3.61,3.61,0,0,0,0,0,30.12,9.64,6.02,2.41,0,0,3.61,20.48,0,0,0,0,1.2,0,1.2,0,7.23,0,0,7.23,3.61,0,0,0,0,0,0,0,0,0,0,0,1.2,3.61,0,0,0,2.41,0,0,4.82,3.61,0,0,3.61,0,0,0,2.41,2.41,3.61,1.2,0,0,0,0,0,8.43,6.02,2.41,0,0,0,0
8,AC Hotel by Marriott Boston Cleveland Circle,20,"Rooms are incredibly dark. Bring a flashlight. Food quality is poor while bills are high. $18 for cereal and juice. Be careful walking around due to trains and poor drivers. Hotel holds itself as a premier property, but it’s right next to the train (noisy).","Hi @EricDinATL,Thank you so much for your review, it is much appreciated! It's comments such as your that help us get better as a property. I want to apologize for falling short of your expectations when it comes to lighting, our food offerings, and noise. We are diligently working with our design team to find a solution for our lighting . As for the food offerings, we offer a beautiful European inspired spread with cereal, juice, quiches, tarts, and eggs made to order. This offering is at every AC Hotel. With us being conveniently located next to the Green Line we have added white noise machines and sleeping aids for those sensitive to sound. Once again, I apologize for falling short of your expectations but I truly hope you can see past the issues you encountered and try us in the future.Thank you for staying with us while visiting the Boston area.All the best,Vinny SassoneGeneral Manager",Trip type: Traveled on business,Date of stay: February 2020,"Response from Adventure38791114216, General Manager at AC Hotel by Marriott Boston Cleveland Circle","Responded Feb 27, 2020",Marriot,5,21,TRUE,5,18,TRUE,5,5.2,TRUE,5,17,TRUE,5,11.8,TRUE,7,15.14285714,TRUE,7,-6.285714286,FALSE,7,0.714285714,TRUE,7,11,TRUE,6,9.166666667,TRUE,45,114,1,2,159,67.17,99,18.63,49.04,19.88,20.13,90.57,68.55,51.57,16.98,13.21,1.89,6.29,5.03,0,0,3.77,15.72,5.66,0.63,15.09,4.4,3.14,6.92,0,15.09,6.29,3.77,13.84,7.55,3.77,2.52,8.81,1.26,7.55,3.14,0.63,2.52,0.63,0.63,0.63,0,9.43,5.66,3.77,1.89,1.89,0,0,0,0,0,20.75,8.81,4.4,3.14,0,0,1.89,12.58,0,0,0,0,0.63,0,0.63,0,1.89,0,0,1.89,0,0,5.03,0.63,0,0,0,0,0.63,3.77,0,0,1.26,0.63,2.52,0,0,0,0,0.63,4.4,11.32,0,0.63,5.66,1.89,1.89,0.63,3.77,1.89,3.77,2.52,0,0,0,0,0,13.84,5.03,6.92,0,0.63,0.63,0.63
9,Aloft Boston Seaport District,10,"Our group chose this hotel for it's location which turned out to be the only thing we liked. We booked 4 rooms for 2 nights each. The first night one person in our group talked to management concerning the price of the room. She gave him a discount and told him to not tell the other people in the group because she would not give anyone else in the group a discount. The group found out the evening of the second night. When I spoke to the manager, Allie, about the price it was apparent that she had made up her mind to not work with the group. She told me that she had told the one Male member of our group of 8 not to tell he had gotten a discount because she wouldn't be giving a discount to anyone else. We booked as a group, we should have all paid the same amount. I also brought up that the price was $70 cheaper online though travel sites per night. So not only did she favor one out of the four rooms, she also made it apparent that no one should ever book through the hotel, instead book through a travel site. Very poor business model to make people that book through the hotel and book ahead of time pay more than someone who books online where another company takes a cut of what the customer pays. The manager, Allie, told us that we should have cancelled our reservation and booked through the travel site if we wanted a better price. Horrible customer service. Smaller issues being no breakfast included for almost $260 a night, smelly hallways, stingy on the complementary items in the room (one bottle of water for a room with double beds- when asked for another they offered to sell me one), and not good service at the bar in the lobby. The dangerous part is the elevators. One of the members of our grouo was trying to hold the elevator door for another and the doors did not want to stay open. While she was standing in the way of one side of the door, it started making a beeping noise and began closing, pushing her towards the other side of the closing door, luckily she was able to stay on her feet and dive out before the doors closed on her. Extremely dangerous! What if she would have fallen and been unable to get out of the way in time?? Overall, do not book here! Go literally next door to Element or up the street to the Westin...anywhere else!","Dear happyhourhopper....I am sorry that your experience at our hotel proved so difficult. As it relates to the questions regarding rate, we adhere to an industry leading best available rate program by booking direct with our hotel website. That does not mean that prices do not fluctuate over time for all hotels. If a leader decided to make an adjustment in good faith for a guest, this does not influence pricing on additional rooms, but I am happy to connect with you personally to discuss further at Christy.loy@starwoodhotels.com. Thank you also for making us aware of your concern regarding the elevators during your recent visit. The elevators are designed to respond to the door hold button open button for an extended period or to respond to motion. Our engineering team monitors functionality as part of their daily rounds, but I will certainly make sure they are aware. Thank you for your feedback and please feel free to reach out to me at your convenience.",Trip type: Traveled with friends,Date of stay: June 2018,"Response from Christy_Aloft, General Manager at Aloft Boston Seaport District","Responded Jul 25, 2018",Marriot,8,19.625,TRUE,8,4.875,TRUE,7,19.71428571,TRUE,8,6.5,TRUE,8,2.625,TRUE,6,1.333333333,TRUE,6,-19.33333333,FALSE,6,1,TRUE,6,1.666666667,TRUE,6,16.33333333,TRUE,436,-268,1,1,168,82.63,86.29,87.3,67.12,21,22.62,87.5,67.26,50,14.29,11.31,2.38,2.98,4.76,0,1.19,2.98,13.69,5.36,0,18.45,4.76,1.79,5.36,1.79,11.9,7.74,3.57,6.55,4.17,1.19,1.79,16.07,0.6,15.48,5.36,2.98,0,1.79,1.19,5.36,0,4.17,3.57,0.6,1.19,1.19,0,0,0,0,0,19.05,7.74,2.98,2.98,0,0,3.57,10.71,0,0.6,0,0,1.19,0,0,1.19,5.36,0,0.6,2.98,1.19,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.55,11.31,2.38,1.19,7.74,0,0,0.6,2.38,1.19,4.17,1.79,0,0,0,0,0,11.31,8.33,2.38,0,0,0,0.6
10,Aloft Boston Seaport District,20,"We did not enjoy our two night stay. The check-in desk is a circular island close to the entrance doors to a cavernous lobby. Upon arrival there was a queue of guests waiting to check in (only two clerks on duty). This queue impeded entry to and exit from the hotel. Upon checking in we were advised there would be no water available the following morning from 09:00 until noon as there had been a mains burst and City Water were undertaking repairs. Though this was obviously not the fault of the hotel, the clerk kindly offered us two complimentary drinks at the bar. (Though this did not eventuate as he couldn't find any vouchers).The bar is open to the very noisy lobby. I've seen better in an airport departure hall. The 'restaurant' was in another corner of the lobby and comprised a hot drink vending machine, fridges with frozen ready meals, a microwave, shelves with canned drinks and packets of snacks. I've seen better in a backpackers.The bedroom was nicely decorated, spacious and had a king size bed. Bathroom and shower perfectly adequate. Fridge and in room safe available. Good number of power points for recharging your electronic devices. The aircon unit was almost of industrial size - emitting a strong blast of air, very noisy and hard to regulate.When my wife tried to make coffee in the coffee maker, upon pouring water into the reservoir it turned milky (I guess the previous guests had poured milk into the reservoir to make a latte). Anyway, she refused to use the machine, not knowing what substance was in the reservoir. We rang room service and they supplied a replacement machine.The hotel is situated in an industrial desert, overlooking truck yards and shipping container storage. (See attached view from the bedroom). Boston Seaport is undergoing rapid development - I'm sure the area will be vibrant in about 15 years. The nearest bar is adjacent to The Westin about 10 mins walk down deserted D Street. The nearest restaurant is a small counter-top eatery about 5 mins down D Street.","Dear Gaijin-Tanuki…thank you for taking the time to share your experience with us. I am sorry for the area of concern you raised, especially for the delay at check-in and the frustration with the water outage situation as well as the coffee maker. We will be sure to address these issues with our team.Also, thank you for highlighting some of the positive features of our rooms. I want to take a moment to share some details about upcoming changes that will make the hotel that much more attractive for a return visit. This week a full-service restaurant will open in our adjacent retail space that will feature new American cuisine and a craft cocktail list. We are installing an arborvitae hedge to screen the patio from the lot under development behind us and are also pleased to partner with the Lawn on D directly across the street in offering our guests one of the most innovative outdoor spaces in Boston. Things are always changing here in the Seaport and I do hope you will consider giving us another try in the future. Again, thank you again for your feedback, I truly appreciate it.",Trip type: Traveled as a couple,Date of stay: June 2017,"Response from MJorgensen, General Manager at Aloft Boston Seaport District","Responded Jun 20, 2017",Marriot,4,18.75,TRUE,4,15.25,TRUE,4,9,TRUE,4,13.75,TRUE,4,14,TRUE,5,23.8,TRUE,5,2.2,TRUE,5,0.8,TRUE,5,23.6,TRUE,5,3.2,TRUE,353,-154,1,1,196,87.27,97.55,48.09,87.21,24.5,18.88,86.22,68.88,57.65,14.29,10.2,2.04,4.59,3.57,0,0,4.08,19.9,10.2,0.51,17.35,5.61,5.1,4.08,0,11.73,6.63,4.59,7.65,7.14,0.51,0,7.65,0.51,7.14,1.53,1.53,1.53,0.51,0.51,0.51,0,5.61,5.1,0.51,2.04,1.53,0.51,0,0.51,0,0,15.31,6.12,3.57,1.53,0,0,2.04,9.18,0,0.51,0,0,1.02,0,0.51,0.51,2.55,1.02,1.02,1.02,0.51,0,2.04,0,0,0,0,0.51,0,2.04,0,0,1.02,1.02,0,0,0,0,0,0.51,3.57,9.69,0,1.02,9.18,0,0,0,5.1,0,2.04,4.08,0,0,0,0,0,8.16,4.59,2.04,0,0,0,1.53
