,,,,,
,City,Hotel,Num_reviews,Chain,Star
,Seattle,11th Avenue Inn Bed and Breakfast,2,,
,Seattle,Bacon Mansion,2,,
,Seattle,Best Western Plus Pioneer Square Hotel Downtown,94,Yes,3
,Seattle,Chelsea Station,1,,
,Seattle,Comfort Inn & Suites Seattle,54,Yes,3
,Seattle,Courtyard Seattle Downtown/Lake Union,48,Yes,3
,Seattle,Courtyard Seattle Downtown/Pioneer Square,98,Yes,3
,Seattle,Courtyard Seattle Northgate,1,,
,Seattle,Crowne Plaza Seattle - Downtown,98,Yes,4
,Seattle,Embassy Suites by Hilton Seattle Downtown Pioneer Square,56,Yes,3
,Seattle,Even Hotel Seattle - South Lake Union,19,Yes,3
,Seattle,Executive Hotel Pacific Seattle,100,Yes,3
,Seattle,Executive Inn by the Space Needle,87,Yes,3
,Seattle,Four Seasons Hotel Seattle,65,Yes,5
,Seattle,Gaslight Inn,6,,
,Seattle,Graduate Seattle,18,Yes,3
,Seattle,Grand Hyatt Seattle,22,Yes,4
,Seattle,Hampton Inn & Suites Seattle Downtown,96,Yes,3
,Seattle,Hilton Garden Inn Seattle Downtown,88,Yes,3
,Seattle,Hilton Seattle,17,Yes,3
,Seattle,Holiday Inn Express Hotel & Suites North Seattle - Shoreline,55,Yes,3
,Seattle,Homewood Suites by Hilton Seattle Convention Center Pike Street,25,Yes,3
,Seattle,Homewood Suites by Hilton Seattle Downtown,34,Yes,3
,Seattle,Hotel Andra,94,No,4
,Seattle,Hotel Ballard,4,,
,Seattle,Hotel FIVE - A Staypineapple Hotel,94,Yes,3
,Seattle,"Hotel Nexus, BW Signature Collection",92,No,3
,Seattle,Hotel Theodore,33,No,4
,Seattle,Hyatt At Olive 8,20,No,4
,Seattle,Hyatt House Seattle/Downtown,11,Yes,3
,Seattle,Hyatt Place Seattle/Downtown,48,Yes,3
,Seattle,Hyatt Regency Seattle,100,Yes,4
,Seattle,Inn at the Market,87,No,4
,Seattle,Kimpton Alexis Hotel,89,No,4
,Seattle,Kimpton Hotel Monaco Seattle,71,Yes,4
,Seattle,La Quinta Inn & Suites by Wyndham Seattle Downtown,70,Yes,3
,Seattle,"Loews Hotel 1000, Seattle",91,Yes,4
,Seattle,MarQueen Hotel,46,No,3
,Seattle,Mayflower Park Hotel,55,No,4
,Seattle,Mediterranean Inn,100,No,3
,Seattle,MOXY Seattle Downtown,34,Yes,3
,Seattle,Residence Inn by Marriott Seattle University District,13,Yes,3
,Seattle,Residence Inn Seattle Downtown / Convention Center,27,Yes,3
