row_num,rater1,rater2,rater3,rater4,rater5,rater6,rater7,rater8,rater9,rater10,rater11,rater12,rater13,_varname,hotel,rating,review,response,triptype,dateofstay,responder,respondeddate,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,fk_grade_level_TA,arousal (ANEW)_TA,dominance (ANEW)_TA,valence (ANEW)_TA,concreteness_TA,familiarity_TA,emotionality_TA,extremity_TA,valence (EL)_TA,SENT_TA,anger_TA,anticipation_TA,disgust_TA,fear_TA,joy_TA,neg_sent_TA,pos_sent_TA,sadness_TA,surprise_TA,trust_TA,arousal (NRC)_TA,dominance (NRC)_TA,valence (NRC)_TA,i_TA,s/he_TA,they_TA,we_TA,you_TA,num_ratings,mturk_rating,apology,Brand
1,20,20.0,21.0,,,,,,,,,,,apologyMy1sttimeinNewYor,AC Hotel New York Downtown,30,"My 1st time in New York and my friends, family & I decided to stay at AC. When we arrived to our surprise the room was ready & we were able to check-in. The front desk staff were mediocre gave us 1 key for 3 people & sent us on our way. The room was very clean I noticed that right away but the room was on the small side but very modern. Two of the workers were extremely nice. There was a young women at the reception desk she had glasses & blond hair I didn't catch her name, she always smiled and waved when ever we came in & out the hotel. I meet one of the maintenance men Shakeem I asked him where could I go to get ice and he told me the 3rd floor and he also told me all the amenities the hotel offers. He showed me the fabulous lounge on the 2nd floor and told me where the gym was located. I was stunned I thought I would’ve gotten told these things as I was checking in. Anytime I saw him he asked if we were ok & did we need anything. He even showed me on my map all the places I needed to go. Overall the location was great, awesome views from the room! Bar had good drinks but very dull atmosphere. Didn’t get to taste the food but it’s good you do offer breakfast. I love the fact that you need your room key to enter the building at night. I can see myself staying here again. I do appreciate the customer service I received from Shakeem & the young lady at the reception.","Dear Alisunshine20,Welcome to New York City and thank you for choosing us to be your hotel to experience the city for the first time. Our goal is to exceed our guests' expectations so I regret that you found us to be lacking in a couple of aspects of your stay. We appreciate you recognizing our strengths while providing us with some areas of opportunity. I hope we have the chance to better serve you on a future visit.Sincerely,Craig KeppleGeneral Manager",Trip type: Traveled with friends,Date of stay: December 2019,"Response from ConcordHospitality, General Manager at AC Hotel New York Downtown","Responded Jan 12, 2020",83,83.65,99.0,24.54,99.0,20.75,18.07,91.57,51.81,20.48,19.28,2.41,9.64,7.23,0.0,0.0,1.2,6.02,16.87,4.82,1.2,3.61,0.0,12.05,2.41,1.2,0.0,1.2,2.41,12.05,10.84,1.2,0.0,0.0,1.2,22.89,0.0,2.41,0.0,0.0,12.05,4.82,0.0,4.82,3.61,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.48,12.05,4.82,2.41,3.61,1.2,1.2,8.43,3.61,14.46,2.41,7.23,6.02,2.41,1.2,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,8.43,4.82,2.41,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,33.3,1.180568181818182,1.63625,1.734772727272727,317.5528564794178,588.7636508600127,4.115,2.52,5.2,0.09043373493975905,0.1026460874312517,0.1579826418033627,0.1313159095454832,0.1924240378597652,0.2618189474594271,-0.2903235294117647,0.3546326530612245,0.107412033705244,0.230509425487186,0.2982954263921814,0.4736129032258065,0.6029677419354839,0.7229677419354839,0.02272727272727273,0.0,0.0,0.09090909090909091,0.06818181818181818,3,20.333333333333332,True,Marriot
2,10,-30.0,-22.0,,,,,,,,,,,apologyIfeelasifIvebeen,AC Hotel New York Downtown,10,"I feel as if I've been scammed and cheated on my booking rates. I've tried for (2) months to get this resolved, they've had me like a ping pong ball going back n forth spending hours of my day on the phone speaking to and emailing different reps both onsite Hotel and Marriot customer service line. The end result, I was never refunded what I was overcharged much less no one had the courtesy of getting back after all my attempts to reach out and get some answers. A million Hotels to choose from in NYC and based on my AAA membership discount I chose this Hotel, the rates offered were $205 night and after applying my membership the rates went down to $143 night. Total cost inclusive of 3 nights, taxes & fees $505.31. (Cant beat those rates thus I booked immediately)To my surprise when I checked out, the next day what I was charged on my bank card was $794.98! ($289.67 over rates offered) When I called the Hotel directly I was told ""We're sorry as we are unable to apply the AAA discount now that you have checked out of our Hotel""SERIOUSLY? They did NOT honor it to begin with and now telling me they cannot correct their mistake?!Mind you the DAILY CONSTRUCTION noise level at all hours. NEVER AGAIN AND WILL NEVER RECOMMEND THIS HOTEL-","Dear SeaTurtle01,Thank you for choosing us for your recent trip to New York. We appreciate you taking the time to post a review on your experience with us so that we can continue to put our best foot forward and continue creating great experiences for the guests of our hotel. After speaking with several members of our management team we have looked into your issue and verified that the rates that you were charged were indeed the rates that you originally booked. There were no changes at all to your reservation since the time of booking. We are always willing to see both sides of every situation, but after looking at our records and speaking with Marriott Reservations that you originally booked with the rates that you have booked are consistent with what was originally confirmed. In an effort to be fair and consistent with all of our guest’s we do honor and stand by the rates that you booked originally booked. I understand your frustrations and wish there was more that we could do to help this time around.Sincerely,Nick CooperAssistant General Manager",Trip type: Traveled as a couple,Date of stay: December 2018,"Response from ConcordHospitality, General Manager at AC Hotel New York Downtown","Responded Feb 21, 2019",187,66.53,99.0,23.06,93.17,26.71,20.32,88.77,56.68,19.25,13.9,0.53,6.95,6.42,0.0,0.0,5.35,4.81,16.58,7.49,4.81,4.28,0.53,12.83,5.35,2.67,0.53,0.0,3.21,5.88,4.81,0.53,0.0,0.53,0.0,17.65,0.0,1.6,0.0,0.0,7.49,1.6,1.6,1.07,0.0,2.67,0.53,3.74,1.6,1.07,0.0,0.53,0.53,0.0,0.0,0.0,13.9,9.09,2.67,2.67,2.14,0.0,3.21,6.95,0.53,14.97,2.14,4.81,8.56,5.88,4.28,0.0,0.0,0.0,0.0,0.53,0,0.0,0.53,0.0,0.0,5.35,3.74,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.5,0.7771649484536082,1.263659793814434,1.27340206185567,310.6556723247445,586.7968902565556,4.576666666666666,3.486666666666666,7.986666666666666,0.01648387096774191,0.1595313327398414,0.3200022143242131,0.1343900818038449,0.2045248188428665,0.2529577070178011,-0.2963473684210526,0.3430659340659341,0.1649362205249277,0.1694870814920419,0.2398179245149231,0.4605882352941176,0.6217058823529412,0.7161764705882353,0.005154639175257732,0.0,0.0,0.06701030927835051,0.06185567010309278,3,-14.0,False,Marriot
3,20,30.0,30.0,30.0,,,,,,,,,,apologyRoomsarelovelyclea,AC Hotel New York Downtown,30,"Rooms are lovely, clean and minimalistic. Staff is nice, really make you feel welcome. One piece of advice though, check your sheets when you get your room. There were a lot of short and long hairs in my sheets. Clearly the sheets had not been changed after the previous guest. Mistakes happen, but still most unpleasant.The aircon/heating is difficult to use and does not function consistently. Windows are not very tight, and the room cannot be dimmed properly.","Dear Dolcevitax,We are delighted to hear that you enjoyed our modern and minimalistic design. I'm very sorry for the lapses that you encountered with our linens and appreciate your feedback regarding our a/c. Your sincere review fosters improvements for future stays. Thank you for choosing us and we hope to provide you with a flawless stay upon your return to NYC.Sincerely,Craig KeppleGeneral Manager",Trip type: Traveled on business,Date of stay: January 2019,"Response from ConcordHospitality, General Manager at AC Hotel New York Downtown","Responded Feb 22, 2019",67,70.45,99.0,6.57,99.0,16.75,25.37,83.58,50.75,23.88,20.9,1.49,8.96,10.45,0.0,0.0,2.99,4.48,14.93,2.99,1.49,4.48,0.0,10.45,2.99,0.0,0.0,0.0,0.0,16.42,14.93,1.49,0.0,0.0,1.49,23.88,0.0,1.49,0.0,0.0,4.48,2.99,0.0,1.49,1.49,0.0,0.0,1.49,0.0,1.49,0.0,0.0,0.0,0.0,0.0,0.0,13.43,10.45,1.49,1.49,0.0,0.0,0.0,11.94,2.99,8.96,2.99,4.48,4.48,4.48,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,11.94,5.97,2.99,0.0,0.0,0.0,0.0,0.0,0.0,1.49,0.0,1.49,29.0,0.9983098591549298,1.490281690140845,1.546901408450704,306.6043726120679,573.5527458883053,4.828571428571428,2.46,6.845714285714285,0.09838709677419354,0.07909069731653467,0.1873807565606677,0.1543572790142634,0.17635258584525,0.3507148075923814,-0.3198666666666666,0.4905,0.091131006760595,0.3130742881391481,0.4058421735167119,0.4342380952380952,0.6264285714285712,0.7472857142857141,0.01408450704225352,0.0,0.0,0.08450704225352113,0.09859154929577466,4,27.5,True,Marriot
4,30,30.0,30.0,30.0,,,,,,,,,,apologyPleaseskipthisprope,AC Hotel New York Downtown,20,"Please skip this property. I arrived at the hotel and the exterior was very nice and so was the lobby. There were 3 desk agents two were busy and a third, Matina. She took 4 min to acknowledge me. She did apologize and proceeded to check me in. She failed to advise that I was checked into a handicap room. No big deal, as everything appeared to still be fine. Once I was checked in, I proceeded to freshen up for the evening and the face towel was dirty. The sink in the bathroom was half cleaned. When I attempted to shower, the shower gel bottle was not even half way full, so I used the bar soap instead. Worst of all there was some type of red substance on the pillow case and the sheets were dirty. Catalina, the guest services manager, took over 40 min to respond to my request to change my room and initially only offered to refund half of my points used to pay for the room. Initially she only apologized and thanked me for letting her know of the problem. I had to request the room move and the hotel was not sold out. I was later told I would be refunded all of my points and was finally switched to a new room.","Dear DFWtrave,I'm very sorry for your poor experience at our hotel. Our goal is to provide every guest with a fresh room and warm hospitality; I regret that we let you down in both areas. We appreciate your feedback as it allows us to monitor and improve. It was our pleasure to provide you with a good-faith measure for our lapses and we hope to have the opportunity to serve you better in the future.Sincerely,Craig KeppleGeneral Manager",Trip type: Traveled solo,Date of stay: November 2019,"Response from ConcordHospitality, General Manager at AC Hotel New York Downtown","Responded Nov 30, 2019",81,73.05,99.0,4.97,99.0,20.25,18.52,92.59,54.32,22.22,18.52,2.47,9.88,6.17,0.0,0.0,3.7,4.94,17.28,6.17,1.23,4.94,0.0,7.41,7.41,2.47,0.0,0.0,2.47,17.28,13.58,3.7,0.0,0.0,2.47,20.99,0.0,2.47,0.0,0.0,6.17,1.23,1.23,2.47,1.23,1.23,0.0,3.7,1.23,0.0,1.23,1.23,0.0,1.23,0.0,0.0,22.22,11.11,4.94,4.94,4.94,0.0,1.23,7.41,2.47,9.88,0.0,8.64,1.23,3.7,1.23,1.23,1.23,1.23,0.0,0.0,0,0.0,0.0,0.0,0.0,11.11,4.94,2.47,0.0,1.23,0.0,0.0,1.23,0.0,1.23,0.0,0.0,32.1,1.217325581395349,1.802093023255814,1.774186046511628,318.9397126068399,591.0789259414,4.336666666666666,2.486666666666667,5.91,0.03844871794871799,0.09225280464896649,0.2087403717069012,0.1348997115966381,0.1797100075463906,0.401480121283573,-0.3866,0.3844186046511628,0.1922447772209541,0.182073258759217,0.4252425285444641,0.4406071428571428,0.5597499999999999,0.6766785714285712,0.02325581395348837,0.0,0.0,0.09302325581395349,0.05813953488372093,4,30.0,True,Marriot
5,30,30.0,5.0,30.0,,,,,,,,,,apologyHadtowait40minutes,AC Hotel by Marriott Boston Cleveland Circle,30,"Had to wait 40 minutes until my room was ready, not acceptable. After travelling all day, that is not what I want! I thought it meant something to be a platinum Marriott reward member. I was not offered even a water as I waited. My profile states high floor away from elevator. Well, I was on 2nd floor next to elevator. Also, very poor lighting in room.","Hi @rugwag,Thank you very much for taking the time to give us your feedback. I want to apologize for falling short of your expectations. There are no words I can say that will give you the experience you deserve, especially as a Platinum Elite Bonvoy Member. As a teachable moment I have addressed these concerns with my team members to ensure this was an isolated issue.Once again I apologize for your experience and if there is anything i can do for you in the future, do not hesitate to reach out to me.Thank you for your feedback,Vinny SassoneGeneral Manager",,Date of stay: June 2019,"Response from Adventure38791114216, General Manager at AC Hotel by Marriott Boston Cleveland Circle","Responded Jun 15, 2019",103,57.11,95.97,14.16,25.77,25.75,19.42,88.35,59.22,20.39,16.5,6.8,0.97,8.74,0.0,0.0,3.88,5.83,15.53,8.74,4.85,3.88,1.94,13.59,2.91,1.94,0.0,0.97,0.97,3.88,1.94,1.94,0.97,0.0,0.97,18.45,0.0,0.0,0.0,0.0,6.8,0.0,0.0,2.91,2.91,0.97,1.94,2.91,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,11.65,4.85,1.94,4.85,0.97,0.97,0.97,12.62,2.91,8.74,0.97,2.91,4.85,4.85,0.97,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9.71,4.85,3.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,40.7,1.077981651376147,1.61954128440367,1.654495412844037,311.6346540490737,595.8683196715472,0.0,0.0,0.0,-0.1187474747474748,0.1226307594387096,0.2251680083216625,0.1833835450469441,0.1763035994667592,0.4334400788409182,-0.3504032258064516,0.2694324324324324,0.168893222973046,0.1147684620169856,0.3649683774557075,0.4610606060606061,0.570909090909091,0.649030303030303,0.05504587155963303,0.0,0.0,0.009174311926605505,0.08256880733944955,4,23.75,True,Marriot
6,-22,3.0,20.0,-10.0,-30.0,-30.0,-30.0,-30.0,-30.0,-10.0,,,,apologyAtfirstwewereexcit,AC Hotel by Marriott Boston Cleveland Circle,30,"At first we were excited that this new hotel was opening up just a few blocks from where our grandsons and family live on Beacon Street... how convenient! Then we arrived this week for our first overnight stay. First and foremost, you need to know that the south side of the hotel is right next to the T. So, all the even numbered rooms are ""track-side"". Also, the lower the number, the closer to the tracks the room will be. So, we were given room 202, the closest to the T tracks you can get. The T runs until about midnight, then starts again around 5:30 AM, and once it gets started, there are many, many trains. For $300/night, guests deserve better!The second important thing visitors should be aware of in advance is the $40/night valet charge for parking. There is virtually no alternative to park elsewhere in the area since most parking spots are for residents. There are a few overnight meters where you can park from 8PM to 8AM, but the only ones I know are several blocks away on Beacon Street, so you need to wait to park your car after 8:00PM and then be sure to get back to the spot to take your car out the next morning before 8:00.These two major issue aside, the hotel is new and clean, and the rooms are a nice size with a roomy bath (at least in our room). Each room has a self contained HVAC unit that is a bit on the noisy side. So, if you want to get to sleep in peace, set the thermostat low before bed, then bump it back up to the temperature you want overnight as you climb into bed. That way you may be able to fall asleep without having to hear the system come on and go off. The room comes with breakfast, but we were anxious to leave and only took away coffee. Remember.... odd numbered rooms are quieter!!!","Dear GuestThank you for the rating and the comments regarding your recent stay at our property in Cleveland Circle.We appreciate all the specific input and though we can't change the location we may be able to adjust the AC units to be more quiet. Your input is truly appeciated.Thank you for taking the time to comment as feedback is key and we hope to see again very soon at any of our Colwen Group Properties.Sincerely,The Customer Service TeamColwen Hotel Group",Trip type: Traveled as a couple,Date of stay: August 2018,"Response from ColwenHotels-MGMT, Guest Relations Manager at AC Hotel by Marriott Boston Cleveland Circle","Responded Aug 26, 2018",84,81.63,99.0,17.86,99.0,42.0,19.05,86.9,51.19,11.9,11.9,0.0,7.14,4.76,0.0,0.0,0.0,8.33,14.29,5.95,5.95,5.95,1.19,11.9,5.95,3.57,0.0,0.0,5.95,7.14,7.14,0.0,0.0,0.0,0.0,20.24,0.0,2.38,0.0,0.0,13.1,1.19,1.19,1.19,3.57,3.57,3.57,3.57,2.38,1.19,0.0,0.0,0.0,0.0,0.0,0.0,14.29,11.9,2.38,0.0,1.19,0.0,0.0,10.71,3.57,11.9,2.38,5.95,4.76,4.76,2.38,0.0,1.19,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7.14,4.76,1.19,0.0,0.0,0.0,0.0,0.0,0.0,1.19,0.0,0.0,33.3,1.156309523809524,1.869642857142857,1.913452380952381,315.3604529250136,589.2168820834999,3.173333333333333,2.36,6.859999999999999,0.0144736842105263,0.174780974426744,0.2517152286293935,0.1997390503435603,0.1507390460846745,0.2690897679029623,-0.2888787878787878,0.2472790697674418,0.1823169659661054,0.07063768924792498,0.3676177905065945,0.3667857142857142,0.5651428571428571,0.6791785714285714,0.0,0.0,0.0,0.05952380952380952,0.04761904761904762,10,-16.9,False,Marriot
7,11,30.0,-10.0,30.0,30.0,10.0,5.0,20.0,30.0,,,,,apologyIstayedatthishotel,AC Hotel by Marriott Boston Cleveland Circle,30,"I stayed at this hotel for 3 nights while and chose it for it's location to Boston College. The rooms were a bit too modern for me (no carpets, minimal lighting, not much furniture to sit on) but they were very clean and spacious. However, the price we paid was high, given that it is very noisy room. The hotel is directly across the street from a D line T stop and the end of the line C. So we hear squeaky subways constantly, late hours of the night while trying to fall asleep and early hours of morning. Maybe they run all night, I don't know.Also there is no place to walk around. If you want the location to hop right on the T, then it's good, otherwise, pass for a hotel with a better and quieter location.Also felt with the $40 parking added to the room it was a bit pricy total. No real lobby or common area and no good furniture in the rooms (too minimal and modern to be comfortable after a long day)","Dear Michele,We appreciate the comments regarding your recent stay at our property in Cleveland Circle.Sorry you did not enjoy the modern style of the property and European decor. We realize this style is not for everyone, sorry you were not pleased.Feedback is key in this business and we thank you for taking the time to comment.We do hope we get another opportunity to earn your business at any of our Colwen group Properties.SincerelyThe Customer Service TeamColwen hotel group",Trip type: Traveled with family,Date of stay: November 2018,"Response from CindyM2891, Guest Relations Manager at AC Hotel by Marriott Boston Cleveland Circle","Responded Nov 28, 2018",83,70.89,99.0,13.77,99.0,41.5,26.51,86.75,49.4,19.28,14.46,0.0,8.43,6.02,0.0,0.0,4.82,4.82,13.25,6.02,0.0,2.41,3.61,13.25,4.82,1.2,0.0,0.0,4.82,12.05,9.64,2.41,0.0,0.0,2.41,22.89,0.0,1.2,0.0,0.0,9.64,2.41,0.0,1.2,2.41,1.2,3.61,1.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.07,13.25,3.61,0.0,4.82,0.0,2.41,9.64,1.2,9.64,1.2,6.02,3.61,8.43,2.41,0.0,3.61,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,8.43,6.02,2.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.5,1.325609756097561,2.019146341463414,2.072073170731707,313.2438673822778,589.8580233290415,5.109999999999999,1.81,5.91,-0.05504054054054053,0.1299041468750433,0.1878940770531216,0.1867347923732664,0.1050958798019762,0.3306028531599682,-0.4145,0.2855,0.1718402789611244,0.1572139279419021,0.3018153363921859,0.4373571428571429,0.6236071428571428,0.7309642857142857,0.0,0.0,0.0,0.07317073170731708,0.06097560975609756,9,17.333333333333332,True,Marriot
8,25,30.0,30.0,-18.0,20.0,15.0,30.0,19.0,,,,,,apologyRoomsareincrediblyd,AC Hotel by Marriott Boston Cleveland Circle,20,"Rooms are incredibly dark. Bring a flashlight. Food quality is poor while bills are high. $18 for cereal and juice. Be careful walking around due to trains and poor drivers. Hotel holds itself as a premier property, but it’s right next to the train (noisy).","Hi @EricDinATL,Thank you so much for your review, it is much appreciated! It's comments such as your that help us get better as a property. I want to apologize for falling short of your expectations when it comes to lighting, our food offerings, and noise. We are diligently working with our design team to find a solution for our lighting . As for the food offerings, we offer a beautiful European inspired spread with cereal, juice, quiches, tarts, and eggs made to order. This offering is at every AC Hotel. With us being conveniently located next to the Green Line we have added white noise machines and sleeping aids for those sensitive to sound. Once again, I apologize for falling short of your expectations but I truly hope you can see past the issues you encountered and try us in the future.Thank you for staying with us while visiting the Boston area.All the best,Vinny SassoneGeneral Manager",Trip type: Traveled on business,Date of stay: February 2020,"Response from Adventure38791114216, General Manager at AC Hotel by Marriott Boston Cleveland Circle","Responded Feb 27, 2020",159,76.81,99.0,13.8,98.46,19.88,20.13,88.05,48.43,16.98,13.21,1.89,6.29,5.03,0.0,0.0,3.77,5.66,15.09,4.4,3.14,6.92,0.0,12.58,8.18,3.14,0.63,0.63,3.14,5.66,5.66,0.0,0.0,0.0,0.0,18.24,0.0,0.0,0.0,0.0,8.81,2.52,1.26,2.52,1.26,1.89,0.63,4.4,2.52,1.89,0.0,3.77,0.63,0.63,0.63,2.52,15.72,8.18,4.4,3.77,2.52,0.0,1.89,9.43,2.52,11.95,3.14,4.4,4.4,2.52,1.26,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,13.84,5.03,6.92,0.0,0.0,0.0,0.63,0.0,0.0,0.63,0.0,0.63,62.6,0.9519209039548023,1.350847457627119,1.390112994350282,339.9602061237828,584.26577407173,4.933333333333333,2.933333333333333,7.433333333333333,0.09744025157232704,0.1567980765424177,0.2050619100048417,0.2299420713461258,0.1571530840811758,0.3336722644153244,-0.2822714285714286,0.3960898876404494,0.18860390484632,0.1923956491737239,0.3602948757275816,0.4403800000000001,0.519,0.65806,0.01694915254237288,0.0,0.0,0.05649717514124293,0.04519774011299435,8,18.875,True,Marriot
9,30,20.0,-8.0,22.0,21.0,20.0,-21.0,,,,,,,apologyOurgroupchosethish,Aloft Boston Seaport District,10,"Our group chose this hotel for it's location which turned out to be the only thing we liked. We booked 4 rooms for 2 nights each. The first night one person in our group talked to management concerning the price of the room. She gave him a discount and told him to not tell the other people in the group because she would not give anyone else in the group a discount. The group found out the evening of the second night. When I spoke to the manager, Allie, about the price it was apparent that she had made up her mind to not work with the group. She told me that she had told the one Male member of our group of 8 not to tell he had gotten a discount because she wouldn't be giving a discount to anyone else. We booked as a group, we should have all paid the same amount. I also brought up that the price was $70 cheaper online though travel sites per night. So not only did she favor one out of the four rooms, she also made it apparent that no one should ever book through the hotel, instead book through a travel site. Very poor business model to make people that book through the hotel and book ahead of time pay more than someone who books online where another company takes a cut of what the customer pays. The manager, Allie, told us that we should have cancelled our reservation and booked through the travel site if we wanted a better price. Horrible customer service. Smaller issues being no breakfast included for almost $260 a night, smelly hallways, stingy on the complementary items in the room (one bottle of water for a room with double beds- when asked for another they offered to sell me one), and not good service at the bar in the lobby. The dangerous part is the elevators. One of the members of our grouo was trying to hold the elevator door for another and the doors did not want to stay open. While she was standing in the way of one side of the door, it started making a beeping noise and began closing, pushing her towards the other side of the closing door, luckily she was able to stay on her feet and dive out before the doors closed on her. Extremely dangerous! What if she would have fallen and been unable to get out of the way in time?? Overall, do not book here! Go literally next door to Element or up the street to the Westin...anywhere else!","Dear happyhourhopper....I am sorry that your experience at our hotel proved so difficult. As it relates to the questions regarding rate, we adhere to an industry leading best available rate program by booking direct with our hotel website. That does not mean that prices do not fluctuate over time for all hotels. If a leader decided to make an adjustment in good faith for a guest, this does not influence pricing on additional rooms, but I am happy to connect with you personally to discuss further at Christy.loy@starwoodhotels.com. Thank you also for making us aware of your concern regarding the elevators during your recent visit. The elevators are designed to respond to the door hold button open button for an extended period or to respond to motion. Our engineering team monitors functionality as part of their daily rounds, but I will certainly make sure they are aware. Thank you for your feedback and please feel free to reach out to me at your convenience.",Trip type: Traveled with friends,Date of stay: June 2018,"Response from Christy_Aloft, General Manager at Aloft Boston Seaport District","Responded Jul 25, 2018",168,90.75,90.47,64.41,97.85,21.0,22.62,84.52,50.0,14.29,11.31,2.38,2.98,4.76,0.0,1.19,2.98,5.36,19.64,4.76,1.19,5.36,1.79,10.71,7.14,2.98,0.0,0.0,1.19,7.74,6.55,1.19,0.0,0.0,0.6,14.29,0.0,1.19,0.0,0.0,14.29,4.76,2.98,0.6,1.79,2.38,4.76,1.19,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,8.93,4.17,2.38,2.98,1.19,1.19,0.6,8.33,0.6,11.9,1.79,7.14,2.98,4.17,2.98,1.19,1.79,0.6,0.0,0.0,0,0.0,0.0,0.0,0.0,11.31,8.33,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,66.5,1.236777777777778,1.819,1.858111111111112,323.0895751677314,587.0274912729562,5.326000000000001,2.084,5.632000000000001,-0.07560355029585801,0.1541043564246771,0.3166750831245221,0.1777570426555206,0.1468224883473411,0.3372655137807211,-0.3364699999999999,0.3024637681159419,0.2117893720298181,0.1578010555667502,0.348288019063536,0.4319032258064515,0.5854838709677419,0.6595483870967741,0.01666666666666667,0.0,0.01111111111111111,0.02777777777777778,0.04444444444444444,7,12.0,True,Marriot
10,23,30.0,9.0,30.0,25.0,30.0,30.0,30.0,,,,,,apologyWedidnotenjoyourt,Aloft Boston Seaport District,20,"We did not enjoy our two night stay. The check-in desk is a circular island close to the entrance doors to a cavernous lobby. Upon arrival there was a queue of guests waiting to check in (only two clerks on duty). This queue impeded entry to and exit from the hotel. Upon checking in we were advised there would be no water available the following morning from 09:00 until noon as there had been a mains burst and City Water were undertaking repairs. Though this was obviously not the fault of the hotel, the clerk kindly offered us two complimentary drinks at the bar. (Though this did not eventuate as he couldn't find any vouchers).The bar is open to the very noisy lobby. I've seen better in an airport departure hall. The 'restaurant' was in another corner of the lobby and comprised a hot drink vending machine, fridges with frozen ready meals, a microwave, shelves with canned drinks and packets of snacks. I've seen better in a backpackers.The bedroom was nicely decorated, spacious and had a king size bed. Bathroom and shower perfectly adequate. Fridge and in room safe available. Good number of power points for recharging your electronic devices. The aircon unit was almost of industrial size - emitting a strong blast of air, very noisy and hard to regulate.When my wife tried to make coffee in the coffee maker, upon pouring water into the reservoir it turned milky (I guess the previous guests had poured milk into the reservoir to make a latte). Anyway, she refused to use the machine, not knowing what substance was in the reservoir. We rang room service and they supplied a replacement machine.The hotel is situated in an industrial desert, overlooking truck yards and shipping container storage. (See attached view from the bedroom). Boston Seaport is undergoing rapid development - I'm sure the area will be vibrant in about 15 years. The nearest bar is adjacent to The Westin about 10 mins walk down deserted D Street. The nearest restaurant is a small counter-top eatery about 5 mins down D Street.","Dear Gaijin-Tanuki…thank you for taking the time to share your experience with us. I am sorry for the area of concern you raised, especially for the delay at check-in and the frustration with the water outage situation as well as the coffee maker. We will be sure to address these issues with our team.Also, thank you for highlighting some of the positive features of our rooms. I want to take a moment to share some details about upcoming changes that will make the hotel that much more attractive for a return visit. This week a full-service restaurant will open in our adjacent retail space that will feature new American cuisine and a craft cocktail list. We are installing an arborvitae hedge to screen the patio from the lot under development behind us and are also pleased to partner with the Lawn on D directly across the street in offering our guests one of the most innovative outdoor spaces in Boston. Things are always changing here in the Seaport and I do hope you will consider giving us another try in the future. Again, thank you again for your feedback, I truly appreciate it.",Trip type: Traveled as a couple,Date of stay: June 2017,"Response from MJorgensen, General Manager at Aloft Boston Seaport District","Responded Jun 20, 2017",199,92.78,96.83,31.4,99.0,24.88,17.59,87.44,53.27,14.07,10.05,2.01,4.52,3.52,0.0,0.0,4.02,10.05,17.59,5.53,4.52,4.02,0.0,12.06,4.52,2.01,0.0,0.5,3.52,8.04,7.04,1.01,0.0,0.5,0.5,12.56,0.0,1.51,0.0,0.0,9.55,1.01,2.01,1.01,3.02,3.02,0.0,1.01,0.5,0.0,0.0,2.01,0.0,0.0,0.0,2.01,10.55,7.04,1.01,1.01,1.51,0.5,0.0,9.05,4.02,16.08,1.51,9.55,5.03,3.02,2.51,1.51,0.5,0.0,0.0,0.5,0,0.0,0.0,0.5,0.0,8.04,4.52,2.01,0.0,0.0,0.0,0.0,1.51,0.0,0.0,0.0,0.0,76.2,1.211365853658537,1.838341463414635,1.920000000000001,332.6533998091405,592.5397650294756,4.295714285714285,2.572857142857143,6.227142857142857,0.09967010309278353,0.1828435385903114,0.3292255629737814,0.1548885984901763,0.1948983166763448,0.3474386483573885,-0.2606363636363637,0.3367948717948718,0.16269944617374,0.1580376441214929,0.3178594957806028,0.4133896103896105,0.5431038961038961,0.6792857142857144,0.01951219512195122,0.0,0.0,0.04390243902439025,0.03414634146341464,8,25.875,True,Marriot
