Hotel,Rating,Review,Response,Trip type,Date of Stay,Responder,Responded date
Hotel Figueroa,10,"We were there for 4 long nights. Walls are paper thin so you can hear all neighbors. The smell of pot was overwhelming and the room 2 doors down also fighting 24/7 and smoking. My daughter was move to another room-with a leak in the hall. I continued to be entertained by the battles for the rest of my stay. The hotel is shabby, small and dark. Bathroom was horrid with a tiny tub, no water pressure and no makeup mirror. Half the sockets had no electricity. Front desk was staffed by several sweet young women, but security could not resolve the issues. Tiny pool and hard to get swim times. No breakfast despite that it was supposed to be included.","Dear jmcneil771,This is simply disappointing, and I'm so sorry for your experience. I will connect with you personally and look forward to making this right.Sincerely,Connie",Trip type: Traveled on business,Date of stay: October 2020,"Response from Connie Wang, General Manager at Hotel Figueroa",Responded 1 week ago
Hotel Figueroa,30,"All in all I thought the Figueroa was a cute hotel, and the pool was especially relaxing. Through no fault of the individual staff I spoke to, however, there were multiple issues throughout our stay that made our experience a bit underwhelming which I'm sure were exacerbated by working under COVID.We had booked the Classic Suite as there was an advertised desk, from which we were planning to work on Friday. When we got there, we found out ours was the only Suite without a desk (listed in fine print on the website, turns out so that's partially on us). They did reach out on Saturday to give us a new room, but by then it was no longer needed.Our TV was also not working on Friday night. While they were able to have someone come fix it in the morning and he was, again, very nice, it was a bit disappointing to have one of three nights with a major amenity not working. Our coffee machine also didn't work and again, it got replaced, but it did leave us with the feeling of everything in our room being a bit of a struggle.They're also booking the pool by two hours time slots after 11AM each day which makes total sense due to COVID. The pool was lovely and I felt very safe there, but on our second day, we were told the front desk had double booked the slots so it wasn't actually available. The man handling the pool gave us free drink coupons and told us we could sit elsewhere but with the pool being a major draw this could have easily been a huge disappointment. Thankfully, another family left early so we grabbed our chairs. Once settled, the pool was great and the poolside food/drink service was lovely.All in all, the hotel was nice, pool was great, restaurant fare was tasty, staff were super friendly, just the amount of small things that went wrong left a bit more to be desired.","Dear Alexandra S,Appreciate your feedback! Our commitment to maintaining a safe and relaxing environment shouldn't make us overlook details like that. We appreciate your understanding, but I'm very sorry for these oversights. Your room should have been perfect for you, and we really hope you'll give us the chance to make this right next time you're in DTLA.Warm regards,Connie",,Date of stay: October 2020,"Response from Connie Wang, General Manager at Hotel Figueroa",Responded 1 week ago
Hotel Figueroa,30,"Wanted to love work perks so I could justify doing it again and again BUT the service was hugely disappointing. Had to wait a while to check in town get my reserved seat at the pool.was already a tad rigid about being able to use pool and to top it off staff was t there.Tried calling down from my room and nobody answered. And other staff didn’t seem to know the food, or lack of food situation.Place is beautiful!","Dear Safari696348,So sorry we let you down. We're dedicated to maintaining a safe environment for all our guests, so we appreciate your patience and understanding at the pool. We definitely should have promptly picked up the phone and been able to clearly communicate about the available menu though. I apologize for that and have addressed this with the team. We understand being able to safely work away from home is especially important right now, and we'd love to have the chance to have you back for a better experience soon!Sincerely,Connie",Trip type: Traveled on business,Date of stay: October 2020,"Response from Connie Wang, General Manager at Hotel Figueroa",Responded 1 week ago
Hotel Figueroa,20,Booked a one night staycation for my anniversary. Paid for deluxe king room that was extremely average I cannot imagine what the classic rooms are. We were put in an adjoining room and the other adjoining room smoked a ton of weed that infiltrated our room all night. Mini fridge didn’t work. Pool looked amazing online and was supposed to be only for hotel guests but was obviously filled with random people just walking in from the front of the veranda restaurant street entrance with no Covid restrictions or regulations. Also apparently you have to reserve pool spots which no one told us at all so there were absolutely no spots to even use the pool. Wanted a nice staycation for a special occasion but felt way cheaper and way different than advertised. Rooms a lot different from pictures. Very disappointed.,"Dear Mel9519,Thank you sincerely for staying with us, and please accept my sincere apologies that your stay fell far short of your expectations and ours. Please reach out to me directly at cwang@hotelfigueroa.com so that I can personally make things right. Your anniversary is important to us, and that trust is not misplaced. As a historic hotel, we have a wide variety of room configurations, and I am confident we can find the right one for you.Due to our COVID-related safety procedures, we have removed a significant amount of seating at the pool to ensure that our guests are socially distanced. Beginning this weekend, the hotel will be opening Ricks, our lovely pool house, for additional 6' distanced seating/lounging during our peak times. We will continue to take reservations at the front desk for safety reasons. Between guest reservations, our pool team sanitizes and refreshes each seating area so that you have peace of mind.Stay safe and I look forward to connecting. We are grateful for your business and your feedback.Warm regards,Connie",Trip type: Traveled as a couple,Date of stay: August 2020,"Response from Connie Wang, General Manager at Hotel Figueroa","Responded Aug 6, 2020"
Hotel Figueroa,20,I stayed here for work and was not pleased with the hotel. The rooms are very small and there was barely any room to fit my luggage. There was no desk space to do any work. The bathroom was incredibly small and there wasn’t even room on the sink to put toiletries or makeup bag. The smell in the hotel was dingy and the service at reception and all dining areas was less than ideal. Ordered breakfast from the restaurant one morning and the food came out cold and yucky. I would not recommend this hotel.,"Dear Fortunecookie127,I do regret you had a very unsatisfactory stay with us at Hotel Figueroa. It seems we missed the mark throughout your stay. As you mentioned, we do have some select rooms that are small in design. The majority of the hotel rooms do offer large bathrooms and full closets for our guests to store their belongings. I will be looking into the odor you mentioned and following up with our front office and food & beverage teams to share your sentiments, so we can continue to offer elevated service across the hotel.In attempts to recover your negative experience, I have sent you a direct message so we can get in contact. It is my hopes you will return to Hotel Figueroa in the future, becoming one of our many return guests.Sincerely,Luke SomersetDirector of Operations",,Date of stay: November 2019,"Response from HotelFigueroa, Director of Operations at Hotel Figueroa","Responded Feb 18, 2020"
Hotel Figueroa,20,"The room is very small. Even with one double bed. The bathroom is tiny with a tub and the vanity provides no space for toiletries. The room is very noisy with both street noise and room to room noise and the corridor as well. There are multiple flashing lights in the room that are annoying. The desk is not functional. It’s part dresser and part desk, is mounted too high on the wall to work at comfortably with the desk chair that is not a desk chair and then the tv comes pretty far off the wall and is right in your face. It’s very dark at night. The view is bad. The finishes are nice enough, but don’t come close to compensating for the other deficiencies. The service is not great and the restaurant is a disappointment.","Dear theodores246,I do regret you found your overall stay to be less than satisfactory. We did attempt to make contact with you, so we could relocate your room to something that would have checked all the boxes for you. However our attempts were unsuccessful. My email credentials have been sent to you and I do hope you will contact me on a future trip so I can personally oversee your room placement, ensuring you have a great experience.Sincerely,Luke SomersetDirector of Operations",Trip type: Traveled on business,Date of stay: January 2020,"Response from HotelFigueroa, Director of Operations at Hotel Figueroa","Responded Jan 29, 2020"
Hotel Figueroa,10,"Wow. We waited for an hour for our room. Our first room's bed smelt like rancid body odor. We were moved to a 2nd room without any reparations and the remote for the TV was missing. Side note, the elevators take forever, seriously, plan to add an additional 10-15 mins travel time whenever you plan on leaving the hotel.It's a shame, the hotel has a good downtown location and is nicely decorated however I would not recommend Hotel Figurora.","Dear Will_Byrnes,Let me start by massively apologizing for the room conditions you found upon arrival. This is certainly not reflective of the high cleaning standards we hold for ourselves. Each room is meticulously inspected and I regret your room was found otherwise. Whilst we do have two guest elevators that service the hotel, there are some demand times with arrivals and departures that can delay usage. We would be more than happy to assign lower level rooms to our guests for easier access to the lobby level.Sincerely,Luke SomersetDirector of Operations",Trip type: Traveled as a couple,Date of stay: December 2019,"Response from HotelFigueroa, Director of Operations at Hotel Figueroa","Responded Dec 30, 2019"
Hotel Figueroa,30,"Really great hotel and nice historical atmosphere, didn't even know that breakfast was included in price, probably not many visitors knew as there was really quiet at breakfast room at mornings.Stayed there with my friend for 7 days, we didn't fit hotels shape of their average visitors I guess as different days I didn't got answer for my good morning/good day comments, just long looks by receptionists. Well, I'm used to that, but I always wonder why is that, we are paying customers after all.Rooms AC control seemed to have mind of his own, but after few nights we managed to live with that also. :)After all great hotel, with safe location near Staples center. If you are not heavy metal fan/look like it you can even get some friendliness from receptionists.","Dear Antti,We appreciate you taking the time to share your valuable, unique insight into the experience of our guests based on your recent stay. We are glad a member of our executive management team was able to connect with you and discuss your review at greater length.Your patronage is appreciated & we hope to have the opportunity to welcome you back to the Fig in the near future-- until then, take care & safe travels around the globe!Warm Regards,Harrison Payne PrehnDirector of Front Office Operations",,Date of stay: November 2019,"Response from HarrisonPaynePrehn, Manager at Hotel Figueroa","Responded Dec 17, 2019"
Hotel Figueroa,30,"Valet and receptionist were efficient and quick. Bellman did not offer ice or explain any hotel amenities. Bathroom toilet area smelled like sewer- this was my only problem with this hotel. Addionally, only 1 elevator was working.","Dear midennis2019,Thank you for taking the time to share your candid feedback with us & your fellow travelers. We appreciate every insight into the experience of our guests as we continue to seek perfection in our service & accommodations. This is certainly not the sort of seamless, comfortable reception we'd hope to offer our guests. I will be sure that your comments are shared with the hotel's full leadership team so that they may take them under advisement for our future guests-- we hope yourself included.Thank you again for choosing us as your hosts for this trip. Your patronage is very much appreciated, and we hope we'll have the opportunity to welcome you back to DTLA again for a stay worthy of a 5-star review. Until then, take care & safe travels to your next destination.Warm Regards,Harrison Payne PrehnDirector of Front Office OperationsHotel Figueroa",Trip type: Traveled solo,Date of stay: December 2019,"Response from HarrisonPaynePrehn, Manager at Hotel Figueroa","Responded Dec 7, 2019"
Hotel Figueroa,10,tried booking room three separate times on three separate websites and each was confirmed and booked then cancelled a day later but booked the wrong room and the booking didn’t not cancel. Hotel would not help out and was rude as can be when I called to talk to them about it and not once ever tried to help me resolve the problem!!,"Dear kurstyann613,I do regret you had challenges booking on a third party partner website for your reservation. Unfortunately we were not able to process the funds for the reservation type you booked and could not guarantee your reservation per the terms of the booking. We offer a variety of direct booking options should you wish to stay again in the future.Sincerely,Luke SomersetDirector of Operations",Trip type: Traveled with family,Date of stay: December 2019,"Response from HotelFigueroa, Director of Operations at Hotel Figueroa","Responded Dec 16, 2019"
Hotel Figueroa,10,"Decoration is kitch, lots of eclectic thingsStaff not helpful, not welcoming not niceRooms small , not well organizedNo lightI cannot believe it is a Leading Hôtel of the WorldVery disappointedNo charmWill not recommend","Dear Calypso555,I regret you had challenges over your stay. The concerns you expressed a very contrary to the service standards we set for our selves. We strive to welcome all of our guests with world class service as echoed in many of our other reviews. I do apologize you did not get a room with the floor space to your liking, we do host a wide variety of room types that satisfy all travel needs. I have messaged you directly in hopes to further connect on this matter and hope to welcome you back in the future.Sincerely,Luke SomersetDirector of Operations",Trip type: Traveled as a couple,Date of stay: November 2019,"Response from HotelFigueroa, Director of Operations at Hotel Figueroa","Responded Dec 16, 2019"
Hotel Figueroa,30,"The location is great if you are attending a Lakers, Clippers, Kings game at the Staples choice or an event at LA Live.The staff is very nice with a great bar in the lobby.In the room there is a coffee machine, daily water and chocolate bar.I did not like the tiny, thin and uncomfortable sleeping pillows.Bring your own my pillow if you stay at this property.","Dear 851karlg,Thank you for your kind comments about our hotel's location & accommodations. I'm sorry to hear that you your sleep wasn't as restful as it should have been during your stay. I'll be sure to share your comments with our Housekeeping & Executive leadership teams to take under advisement as they continue to make improvements to the room features.Thank you again for your candor in providing this feedback. Your patronage is deeply appreciated & we hope to welcome you back to The Fig in the future.Take care!Warm Regards,Harrison Payne PrehnDirector of Front Office OperationsHotel Figueroa",Trip type: Traveled with friends,Date of stay: November 2019,"Response from HarrisonPaynePrehn, Manager at Hotel Figueroa","Responded Nov 24, 2019"
Hotel Figueroa,20,"would never go again there. only the lounge is nice. Rooms are to small, not even a chair and a desk to work. Permanent noise from the ventilation in the bathroom, no noise protection from the traffic, annoying sound of the elevator, far too loud. Fitness room is a joke. Never seen this before.","Dear MichaelS7243,I do apologize you found our facilities flawed and not to your satisfaction. Hotel Figueroa does offer a wide range of room types, ranging from small budget orientated rooms, to large one bedroom suites overlooking our iconic coffin shaped pool with views of the Hollywood sign. I'm sure we have the perfect room for you if you would like to give us another shot. Feel free to contact me at Lsomerset@hotelfigueroa.com i'd like to personally oversee a future visit to ensure your experience is world class.PS: We have listened to our guests and have plans for a gym expansion in 2020 offering new state of the art equipment.Sincerely,Luke SomersetDirector of Operations",Trip type: Traveled on business,Date of stay: November 2019,"Response from HotelFigueroa, Director of Operations at Hotel Figueroa","Responded Dec 3, 2019"
Hotel Figueroa,30,"This is a charming hotel and well located. However, my room had no desk and I had to take a side table and move it adjacent to a chair in order to have a place to work, leaving the coffee maker on the floor. Since this was a conference hotel, I was quite surprised that there was no desk, which I would have thought was standard. On a better note, the breakfast was great but I didn't know about it until day 3 since they never told me at check in.","Dear sron333,Thank you for you recent stay at Hotel Figueroa and taking the time to leave us feedback. We have listened to our guest and started placing desks in our non suite product. On your next visit, let us know you would like a desk and our team will happily arrange one. I'd like to apologize for the miss communication regarding our breakfast buffet, happy to hear you did get to enjoy it none the less.We look forward to welcoming you back in the future.Sincerely,Luke SomersetDirector of Operations",Trip type: Traveled on business,Date of stay: July 2019,"Response from HotelFigueroa, Director of Operations at Hotel Figueroa","Responded Nov 19, 2019"
Hotel Figueroa,30,"We stayed here a third time and love the location, the hotel and rooms with character and the friendly service.However the room service dining options are very poor and end at 10 pm. Come on you can do much better than that. That said, I would stay here again.One other flaw easy to fix is that the bathroom lights shine through the door and disturb a person who is still asleep.","Dear vmanwani,Thank you for your kind comments regarding our staff & rooms-- we're glad to hear that our hotel's facilities made a positive impression. I've shared your comments regarding dining options & operating hours with our Food & Beverage leadership team to be sure they're taken under advisement for the future. We understand that for many of our travelers, a busy schedule precludes taking advantage of our restaurants or in-room dining earlier in the day. I apologize for any inconvenience this may have caused during your stay with us.Again, your feedback & patronage are much appreciated, and we look forward to welcoming you back in the future for a far improved experience. Please let us know when you'll be returning & we will make certain that your accommodations are more comfortable.Take care!Warm Regards,Harrison Payne PrehnDirector of Front Office Operations",Trip type: Traveled with family,Date of stay: October 2019,"Response from HarrisonPaynePrehn, Manager at Hotel Figueroa","Responded Oct 10, 2019"
Hotel Figueroa,10,"Table stakes for any hotel room is an environment conducive for sleep. My room looked out on the hotel’s outdoor patio, which also serves as a nightclub. The music is so loud that my windows rattled and the music lasted until 10pm one night and 1am another. In my opinion the hotel defrauded me by selling me that room.","Dear 457mlr,First let me start by immensely apologizing. No event should keep our guests up at night, affecting their much needed rest. We have addressed this issue, isolating times and levels music is to be played at. I have messaged you directly to connect further on this matter. Customer service is of up most importance to us and I want to make sure that is reflected to you.I do hope you will give us another chance in the future. I'm positive we can deliver an experience that will have you returning time and time again.Sincerely,Luke SomersetDirector of Operations",Trip type: Traveled on business,Date of stay: September 2019,"Response from HotelFigueroa, Director of Operations at Hotel Figueroa","Responded Sep 24, 2019"
Hotel Figueroa,30,I was invited to a pool party at this hotel. The server was very attentive. One server for all those people... but she was great! Plenty of towels for everyone. Drinks were good but overpriced. !6.95 for a Bloody Mary?,"Dear Peachie50,Thank you for taking the time to leave us this feedback. I am happy to see that our rockstar bartenders were able to provide excellent service, even with the heavy volume. I'll be sure to pass on your remarks to our Food & Beverage management team. We do hope you think of us the next time you are booking a room in the Downtown area!Best,Katelyn BenedictFront Office Supervisor",,Date of stay: August 2019,"Response from KatelynHotelFig, Front Office Manager at Hotel Figueroa","Responded Sep 4, 2019"
Hotel Figueroa,10,"Disgusting customer service. Appalling. Would never ever recommend using this hotel - avoid!!!Despite holding my card details securely on file to cover the room -from the booking, hotel refused to let my exhausted wife into the room on her arrival having been travelling for many hours - and then made her wait in line again to try get a digital form which they already had all details from. Really bad customer service and not what you would expect considering other reviews - maybe new staff in place now since those reviews were done.To the hotel - think about your customers - treat them with the level of service you would want to receive when you go stay somewhere.","Dear Travelbokster,I do apologize for any inconvenience your wife received at arrival. Hotel policy requires a valid credit card and ID to be present at check in. We set our service standards very high, as echoed in our reviews. I do hope you understand we did not set out to deliver sub par service and we deeply regret that you are unhappy regarding your recent stay with us.Sincerely,Luke SomersetDirector of Operations",Trip type: Traveled with family,Date of stay: August 2019,"Response from HotelFigueroa, Director of Operations at Hotel Figueroa","Responded Sep 5, 2019"
Hotel Figueroa,30,"I want to commend the engineer Chewie who helped me so much. I am a business traveler, and there was no desk or lighting when I arrived. He set up a desk chair, room lighting, and rearranged the room. So now I am all set and very happy! What service. He made my day and my stay","Dear SharonBoston,I am so happy that we were able to remedy your issues with the lighting and desk. I will be sure to pass along your extremely kind words to Chewie, I know he will be happy to hear that he was able to make such a positive impression. If there is anything we can do to further elevate your stay, please don't hesitate to reach out.Best,Katelyn BenedictFront Office Supervisor",,Date of stay: July 2019,"Response from KatelynHotelFig, Front Office Manager at Hotel Figueroa","Responded Jul 17, 2019"
Hotel Figueroa,30,"Start with the positives: The hotel is beautiful. Has a wonderful history, and the public spaces are very nice. There was a great band doing soul covers of 2000s hits on one of the nights I was there, and it was a hopping crowd for an early show that closed down early enough for everyone to sleep. Attractive, diverse clientele for events, I imagine 30-somethings will really enjoy the public experience at the hotel. The staff is very friendly and the front desk and door experience is great.On the negatives: Service on a Monday was slow. The down pillows in the room were absolutely terrible (limp and unsupportive), and so I asked for two foam pillows. An hour and a half later, still no pillows. I called again and they had obviously lost my order, to their credit they got those pillows to me right away after the second call. Unfortunately, they were the worst foam pillows I have ever received at a hotel. Small, ""memory foam"" contour pillows that were extremely hard, not much give at all. I'm particular about my pillows, but really this was below par for any hotel that I have stayed at, and this is an expensive hotel.My biggest issue was that the A/C vent is pointed directly at the head of the vent (I was in a 12th-floor room with vaulted ceilings, this may be specific to this room type). It was very uncomfortable having air blown on my face all night (it was hot in LA). Eventually I figured out I could open the window at night to cool the room but that opened me up to outside noise -- but I used a sleep app to combat that. The shower fixtures were weak and unsatisfying ""Sunflower"" types.Breakfast is fairly weak. All I would end up eating was the yogurt and granola. The line for the toaster was ridiculous -- and I wasn't the only one frustrated. People were fighting for the toaster, I gave up quickly because I don't need that kind of stress in the morning.Finally -- I filled out an online survey as part of my stay at the hotel, which elaborated on most of these points. It was a fairly negative review on the first night of a 4-night stay. Nobody reached out to me to discuss the issues, and then I got this request for a TripAdvisor review. Normally I wouldn't bother to complain publicly, but since my initial review was ignored and I'm still being bombarded with bots to complete a public review, I thought it was my duty to complete it. Perhaps this could encourage the hotel to consider how they engage in digital customer service.","Dear msyp2019,I want to start my immensely apologizing for the overall experience of your stay. We will definitely take your sentiments regarding the quality of our foam pillows and continental offerings into consideration. it is great to hear you loved our our hotel, public spaces and staff, all are great! I do hope you will give us another shot, i'm sure you will have the experience you set out to have on your recent stay.Sincerely,Luke SomersetDirector of Operations",Trip type: Traveled on business,Date of stay: July 2019,"Response from HotelFigueroa, Director of Operations at Hotel Figueroa","Responded Jul 17, 2019"
Hotel Figueroa,30,"The room was small and crammed with furniture. The service was okay. Would stay elsewhere for similar price. The neighborhood is nice, with lots of stuff to do. Breakfast was ok, continental with the basics.","Dear Sean B,Thank you for taking the time to leave us feedback. It is great to hear you enjoyed the hotels location, enjoying all the offerings of the neighborhood. Whilst your overall experience was lacking 5 star service, I do apologize. We hope you give us another chance in the future, I'm sure you'll get the experience you set out to get on your recent stay. We do offer many larger rooms from the one you booked and offer a full breakfast menu in our restaurant Breva, should you want more than our continental.Sincerely,Luke SomersetDirector of Operations",,Date of stay: April 2019,"Response from HotelFigueroa, Director of Operations at Hotel Figueroa","Responded Jul 5, 2019"
Hotel Figueroa,30,"I stayed at this hotel for a conference. The location is nice because its about 1-2 blocks from the convention center, the Staples center, the Grammy Museum, and a ton of restaurants. The hotel itself was very nice, looks like it was upgraded recently. But, my room had no refrigerator, others said theirs had one. I was told on the last day, I could have asked for one. Really? But, the facilities overall are very nice, however the ""gym""... I have to put that in quotes as its is soooo tiny. 2 treadmills, 1 elliptical, a set of weights, some yoga mats, and a strength-training device. I would rather them give me a pass to a real gym. In general, the hotel was clean, but on a couple occasions, a plate of food was left outside of one of the rooms near my room, all day. I was shocked to see it there when I came back at the end of the day. Otherwise, it was a good hotel, I would stay again, especially for the location.","Dear adt980,I'm happy to hear you had an overall good stay with us and appreciate you taking the time to leave us feedback. I'd like to apologize that a minifridge was not offered to you sooner, we do offer them to all non-suite rooms upon request. Feedback regarding the size of our gym has been noted and we have exciting plans to expand the gym later this year, offering additional state of the art equipment. We look forward to hosting you in the future and thank you for your recent stay.Sincerely,Luke Somerset",Trip type: Traveled on business,Date of stay: April 2019,"Response from HotelFigueroa, Director of Operations at Hotel Figueroa","Responded Jun 10, 2019"
Hotel Figueroa,10,"I'm really not sure why everyone has raved about this hotel, as our experience was underwhelming and quite frankly very disappointing. Upon arrival I was blown away by the interior and decor, but that was the only part of our stay that I enjoyed. We booked the corner suite for two nights. The bedroom duvet was covered in a coffee like stain and dirty like it hadn’t been changed from the last guest. After speaking to front desk, they apologised and said they would send someone up right away to change the duvet and sheets, and offered us a complimentary drink in the bar while this was done. This was a really nice gesture. Now the bar service was something else though. I have never come across a barman so rude and miserable it made us feel uncomfortable. The gent that served us was in the worst mood, and not only got our drinks order incorrect three times, he tried to charge us for all the incorrect drinks we apparently ordered. His tone and chat were rather appalling even after trying to have a little joke with him to lighten the mood. He said to us ‘I’m not having a bad day, it’s the restaurants fault for always changing the menu’. Five star customer service right there! Any who after our cocktails (and bottle of wine) we proceeded up to the room to find that housekeeping hadn’t been up to change the bedding. Not overly impressed considering we had been out of the room for over an hour and half. We decided to go out for dinner in the hopes that by the time we got back everything would be ready. We got back to the room at about 10pm to find that the duvet cover had been completely removed and replaced with just a sheet. Called front desk again, this time someone came up within 15 minutes but handed us a duvet and went to walk off. My partner was quick to ask that they make the bed.We were out the entire following day, and didn’t arrive back to our room until after midnight to find yet again just a sheet on our bed. We were too tired to say anything this time, but were extremely annoyed at the service we had received through-out our stay. Upon check out, the front desk attendant asked how our stay was and I was very honest. The only redeemable factor in our stay is that front desk were very apologetic and waived the ‘resort fee’ from our stay – which after almost a week later we are still yet to receive the refund for. I was hoping the initial issues we had were just a one off, but to receive bad service over two days tells me that customer service is not the forefront for this hotel especially for non-business guests. Just goes to show that a hotel can look beautiful from the outside but if the service is terrible then it is a one star in my mind. I will never stay here again, and I will never recommend this hotel to anyone simply because of the poor service we received.","Dear Bree S,Please let me start by immensely apologizing for the challenges you experienced during your stay. The service you received at the bar is absolutely unacceptable and I want to assure this was addressed immediately, with action. Housekeeping management have been shared your feedback and further internal training has taken place to ensure instances like this, do not happen again. I would like an opportunity to connect further, in efforts to further rectify your stay challenges and have sent you a private message. I'm looking forward to the opportunity to connect further with you.Sincerely,Luke Somerset",Trip type: Traveled as a couple,Date of stay: May 2019,"Response from HotelFigueroa, Director of Operations at Hotel Figueroa","Responded Jun 10, 2019"
Hotel Figueroa,30,"The Hotel was very clean and staff was extremely friendly and helpful. The room was on the small side, but the beds were very comfortable and they provided us a crib, microwave and refrigerator upon request. The bathroom door is a barn style door that does not offer a lot of privacy, which really only matters when traveling with others. The shower was amazing and the proximity to the Convention Center, L.A. Live, and the Microsoft Theater was perfect. The only issue we had was that our toilet got plugged and it took 4 hours (1 phone call and 2 in-person visits to the front desk) before somebody came to look at it and fix it. Once somebody came, they were able to fix it right away.","Dear Road29023413295,It is great to hear you found our hotel clean and friendly. We strive to deliver world class service and facilities for all of our guests to enjoy. We do offer rooms with standard doors, let our reception know and they will happily place you in one of those rooms in the future. I'd like to apologize for the slow response time getting an engineer to repair your toilet. This is certainly not reflective of the high standards we set for ourselves and will be shared with the appropriate manager. Thank you again for sharing your feedback and we hope to invite you back soon!Sincerely,Luke Somerset",Trip type: Traveled with family,Date of stay: May 2019,"Response from HotelFigueroa, Director of Operations at Hotel Figueroa","Responded Jun 10, 2019"
