,Features,Coefficient
95,tech,-4076751768.3982406
93,politic,-2220245959.48212
94,ethnicity,-1103074245.257711
138,Comma,-109.52870389726337
24,s.he_TA,-90.65291164723786
137,Period,-90.37345101614565
140,Exclam,-89.0776052692496
142,OtherP,-66.92365450074307
141,Apostro,-54.92846837935837
71,Affect,-53.01557962355738
75,emo_pos,-24.87153804774705
44,they,-23.88708264453443
39,ppron,-19.782718414621236
45,ipron,-11.804600841923962
27,you_TA,-10.886102187792648
132,netspeak,-8.888088437646369
87,socrefs,-6.684854472813222
139,QMark,-6.684154107365922
79,emo_sad,-4.522107462749181
123,space,-4.365583860772148
28,WC,-4.304651773746055
64,insight,-3.5663524925268266
23,i_TA,-3.515992034024746
76,emo_neg,-3.3637473344000437
41,we,-3.2512633065778216
3,valence..ANEW._TA,-3.127274481476994
57,Drives,-3.0648574267039495
15,neg_sent_TA,-2.8577765262429087
36,Linguistic,-2.8516808848837085
22,valence..NRC._TA,-2.5487774761444495
96,Lifestyle,-2.2725331354939446
145,Negation,-2.160474354887789
7,extremity_TA,-2.0603178006694005
144,Impersonal.Pronoun,-1.852030927531629
50,auxverb,-1.8056636506147292
77,emo_anx,-1.7943259000517686
81,socbehav,-1.677007734066041
61,Cognition,-1.606006740816013
157,Give.Agency,-1.57667599781186
78,emo_anger,-1.5246832664908418
127,time,-1.4812818683476279
20,arousal..NRC._TA,-1.3963978783773747
67,tentat,-1.2619033301354496
108,food,-1.2583413594094743
103,health,-1.1877301708598809
129,focuspresent,-1.1222550886227667
176,Conjunction.Start,-1.069439338229465
4,concreteness_TA,-1.058052221620954
10,anger_TA,-1.012535014815152
124,visual,-0.9969038931858951
86,comm,-0.9968930498717637
5,familiarity_TA,-0.9618973676095448
56,quantity,-0.8567670534365148
154,Reasoning,-0.8447721049871277
150,Can.You,-0.772255754825549
69,differ,-0.7436638706481453
51,adverb,-0.7328816243080966
11,anticipation_TA,-0.6920773059558287
106,substances,-0.6695820378606183
122,motion,-0.6657427016372641
168,Subjectivity,-0.6591060757538154
153,For.You,-0.6564286021974411
26,we_TA,-0.6560976502540747
126,feeling,-0.6442483841450843
48,number,-0.6189194184470008
171,Gratitude,-0.600525175102109
128,focuspast,-0.5842202177613911
117,risk,-0.5831107824264271
159,Please,-0.5213867398896214
151,Let.Me.Know,-0.4899283739031143
29,Analytic,-0.480550497276131
