,Features,Coefficient
15,neg_sent_TA,-3.2306062451564506
22,valence..NRC._TA,-1.7936120523478467
4,concreteness_TA,-1.5657106107793348
87,socrefs,-1.35837948176003
93,politic,-1.095387826372681
79,emo_sad,-0.69219874295028
140,Exclam,-0.6339855882883251
176,Conjunction.Start,-0.6214144283064549
64,insight,-0.6162803472585319
103,health,-0.5739680070186408
157,Give.Agency,-0.5351819778946424
123,space,-0.5131918206948333
138,Comma,-0.5123150124449644
9,SENT_TA,-0.36179113033869714
90,female,-0.3243735725588689
11,anticipation_TA,-0.31054148097441
124,visual,-0.2915910639066553
56,quantity,-0.18686374932193658
89,friend,-0.18065840144498152
34,BigWords,-0.17627417296529108
110,need,-0.15239093869984388
58,affiliation,-0.09186154872968219
51,adverb,-0.08073413823622957
168,Subjectivity,-0.0679064695431286
154,Reasoning,-0.04049838473439186
67,tentat,-0.036573035231325726
62,allnone,-0.028521827582962563
69,differ,0.012232472511694497
171,Gratitude,0.05481365915309961
112,acquire,0.057857826345612644
53,negate,0.16316836362772513
169,Bare.Command,0.16647816073536292
121,attention,0.20190065673902075
32,Tone,0.23490042476443362
164,Negative.Emotion,0.23753629340646543
116,reward,0.25923208522848096
119,allure,0.2803793766375386
82,prosocial,0.3069367570717967
54,verb,0.30981484271214965
6,emotionality_TA,0.3749897988985562
125,auditory,0.4321469937043035
59,achieve,0.5899310629269457
1,arousal..ANEW._TA,0.7742207266855203
19,trust_TA,0.8144681916345746
162,Second.Person,1.2798300483813025
37,function.,1.442636596927291
60,power,1.7038206891858818
40,i,1.8324752631456287
85,moral,1.9130360244065028
172,Apology,10.567970852872724
