,Features,Coefficient
24,s.he_TA,-86.94824968097194
71,Affect,-54.52957386139583
138,Comma,-30.792336326737896
75,emo_pos,-25.46317334627581
44,they,-24.87059136498729
140,Exclam,-24.839826832011443
137,Period,-24.48181537277512
142,OtherP,-17.80497943582063
141,Apostro,-15.439597077202402
27,you_TA,-11.581889483833407
132,netspeak,-9.454290751698586
87,socrefs,-6.709106613856277
39,ppron,-6.291777545259964
28,WC,-5.74105447655381
45,ipron,-5.705051400208826
41,we,-4.364208451756846
123,space,-4.296461908337967
79,emo_sad,-4.188192391160332
57,Drives,-3.9116357771687515
76,emo_neg,-3.826147804401489
64,insight,-3.557650226613621
23,i_TA,-3.329734501994898
3,valence..ANEW._TA,-3.1755168404539607
36,Linguistic,-3.1183102674653917
96,Lifestyle,-3.0034771532664495
15,neg_sent_TA,-2.8647319867812855
22,valence..NRC._TA,-2.408055219617559
139,QMark,-2.3066654568261464
7,extremity_TA,-2.1247130342327814
50,auxverb,-2.0597833302913986
61,Cognition,-1.9717670046439837
144,Impersonal.Pronoun,-1.8907286807653614
81,socbehav,-1.8224861684665579
145,Negation,-1.8147515326274979
77,emo_anx,-1.7191980548562495
157,Give.Agency,-1.628191864307407
78,emo_anger,-1.4678317726039067
20,arousal..NRC._TA,-1.3970672177149182
127,time,-1.3310932729293732
67,tentat,-1.2802638699170603
93,politic,-1.2451454517289242
129,focuspresent,-1.2010747247957703
108,food,-1.1871060054643479
103,health,-1.1746966248378983
4,concreteness_TA,-1.0444269182668378
124,visual,-1.0206738086775469
176,Conjunction.Start,-1.0056389368114156
29,Analytic,-1.0034694970826212
10,anger_TA,-0.9349882590375777
5,familiarity_TA,-0.9137013639402515
40,i,-0.8940683667484262
51,adverb,-0.8654580786870621
150,Can.You,-0.8098376797673623
56,quantity,-0.7992434343658994
86,comm,-0.7838017047646001
69,differ,-0.7765615443726256
154,Reasoning,-0.7629780016617612
117,risk,-0.6912862062878381
106,substances,-0.686701734945038
153,For.You,-0.6722332558492219
11,anticipation_TA,-0.6390478470744227
128,focuspast,-0.6314719717057623
168,Subjectivity,-0.5952398683157134
122,motion,-0.5865555276122366
126,feeling,-0.5692411412861642
48,number,-0.5388988597501794
151,Let.Me.Know,-0.5191400119281565
171,Gratitude,-0.5083593122296345
16,pos_sent_TA,-0.4684683263717191
159,Please,-0.43286846935543555
34,BigWords,-0.4239060796180443
70,memory,-0.3985539080420556
173,Truth.Intensifier,-0.3841139309343668
110,need,-0.37894847721666436
26,we_TA,-0.3718531340367639
88,family,-0.3472132381775715
165,Agreement,-0.30268630899180554
148,Formal.Title,-0.3025955433983244
143,Hedges,-0.21996616447551467
101,relig,-0.1790264120057826
174,Affirmation,-0.14436422948230104
17,sadness_TA,-0.14359468719358504
14,joy_TA,-0.12582499670775632
94,ethnicity,-0.0881596795219141
146,Filler.Pause,-0.08413902878168932
133,assent,-0.07193872239160569
105,wellness,-0.0645211959418629
65,cause,-0.06432175164938925
152,For.Me,-0.04922684840827183
147,Informal.Title,-0.041077405681140634
115,fatigue,-0.029784871710568855
21,dominance..NRC._TA,0.05175695993248266
130,focusfuture,0.10291469590796377
134,nonflu,0.12383484823914957
107,sexual,0.148646661954707
90,female,0.15612814250734178
166,Disagreement,0.1604497636183618
12,disgust_TA,0.1908707732754782
92,Culture,0.1926916923456076
112,acquire,0.19813662348227057
35,Dic,0.22693123886807248
109,death,0.23671362164658613
113,lack,0.24710660658926495
104,illness,0.2493075050377799
175,Adverb.Limiter,0.2582394169927775
89,friend,0.3630066654156635
125,auditory,0.3668955731494122
135,filler,0.3815309450040842
91,male,0.3963166818293419
114,fulfill,0.39789068596859045
116,reward,0.4099913464349229
118,curiosity,0.43602575235948016
149,Could.You,0.4487421487114926
18,surprise_TA,0.4504032406862594
111,want,0.45425576815429924
68,certitude,0.4576080389069999
62,allnone,0.4615292949726712
84,conflict,0.4992248532044632
30,Clout,0.534145470925138
167,Acknowledgement,0.5347227374560504
121,attention,0.5417472092006335
169,Bare.Command,0.548143240919217
155,Reassurance,0.5505618359818617
9,SENT_TA,0.6124609754488278
46,det,0.6255529035591917
8,valence..EL._TA,0.6644654542560896
13,fear_TA,0.7000550449872891
32,Tone,0.704130998285515
170,YesNo.Questions,0.7376328459865702
158,Hello,0.772839648879628
33,WPS,0.7906505698391187
119,allure,0.813006934589216
47,article,0.8395854508338833
95,tech,0.9309208661906537
163,Positive.Emotion,0.9873238914752078
66,discrep,1.0008409070642623
156,Ask.Agency,1.0324478734018065
83,polite,1.078168284377594
98,home,1.0933303563178436
52,conj,1.1257196989608926
100,money,1.1630861637056276
161,First.Person.Single,1.2148117919503267
120,Perception,1.4093470077361074
49,prep,1.4186999394980466
164,Negative.Emotion,1.4460299267254115
97,leisure,1.5306285891803122
19,trust_TA,1.5592262696352224
59,achieve,1.6493891936480407
0,fk_grade_level_TA,1.661753301923602
53,negate,1.703830620325018
102,Physical,1.7113308733121508
80,Social,1.7385592465849378
55,adj,1.740077585093666
6,emotionality_TA,1.84749919334875
2,dominance..ANEW._TA,1.8513154085644872
82,prosocial,2.3292824438183373
160,First.Person.Plural,2.33320895589266
85,moral,2.460729637951591
1,arousal..ANEW._TA,2.5536162332873187
58,affiliation,2.7160115572138626
99,work,2.905400266636586
31,Authentic,3.075626206063424
54,verb,3.461836087218931
63,cogproc,4.102587693696021
37,function.,4.261949108646115
162,Second.Person,4.277660856674717
60,power,4.3512664264672845
131,Conversation,4.408090738390165
42,you,4.901667712336362
172,Apology,9.186464914447557
73,tone_neg,14.466367127120515
38,pronoun,15.635611915113664
25,they_TA,24.13421737197436
74,emotion,25.66592257998414
136,AllPunc,48.1723810152652
72,tone_pos,56.26631594536286
43,shehe,87.32579101815021
