,Features,Coefficient
145,Negation,-1.4856073137115509
15,neg_sent_TA,-1.3990523892486246
124,visual,-0.8705231909180059
87,socrefs,-0.8624394859241065
23,i_TA,-0.8462816078552241
64,insight,-0.7971084746232756
61,Cognition,-0.7425631465175513
80,Social,-0.7331474526023822
86,comm,-0.7208242823502061
117,risk,-0.710134164702675
103,health,-0.7065140321566106
7,extremity_TA,-0.6538783535931391
50,auxverb,-0.6274789941905627
176,Conjunction.Start,-0.6196232501409135
140,Exclam,-0.6048224944150867
14,joy_TA,-0.6002292174742313
127,time,-0.48495749545151495
105,wellness,-0.48158731314828984
79,emo_sad,-0.4735572207968977
17,sadness_TA,-0.45147703483341567
56,quantity,-0.43523301150105065
9,SENT_TA,-0.42570563485043295
20,arousal..NRC._TA,-0.4225539704781048
59,achieve,-0.41608421959088193
159,Please,-0.4079972584747972
113,lack,-0.38781091956061425
3,valence..ANEW._TA,-0.3870701587189904
4,concreteness_TA,-0.3838716220015679
35,Dic,-0.3806201664968705
123,space,-0.36873573586887204
104,illness,-0.36507241692363535
34,BigWords,-0.35807249199500146
154,Reasoning,-0.3527217259221662
167,Acknowledgement,-0.35185785253489643
29,Analytic,-0.3448090619293859
148,Formal.Title,-0.3447343569377763
22,valence..NRC._TA,-0.3008848099910295
146,Filler.Pause,-0.2820548343660562
0,fk_grade_level_TA,-0.2812594140857061
10,anger_TA,-0.28108695467598777
141,Apostro,-0.2792481406441204
2,dominance..ANEW._TA,-0.2701380655868215
93,politic,-0.24456362748492272
156,Ask.Agency,-0.228526484244701
88,family,-0.21864755606379407
150,Can.You,-0.17861343346101358
101,relig,-0.1785288707666555
157,Give.Agency,-0.16054537195429017
91,male,-0.15709759430383732
27,you_TA,-0.15021919948958565
28,WC,-0.1476640424451215
74,emotion,-0.14697919491469544
138,Comma,-0.14400233432035242
147,Informal.Title,-0.14078488043961945
78,emo_anger,-0.1310596006572558
126,feeling,-0.11781539527233081
169,Bare.Command,-0.1149744031257293
98,home,-0.11265022867804221
36,Linguistic,-0.10212361696411762
45,ipron,-0.09933038000774835
108,food,-0.09861154845443325
160,First.Person.Plural,-0.09401633449194276
111,want,-0.08303331620719248
63,cogproc,-0.07576309278697033
128,focuspast,-0.07165669403708662
73,tone_neg,-0.06276426070313702
21,dominance..NRC._TA,-0.05706969684397702
51,adverb,-0.0466736130406772
136,AllPunc,-0.04579816345990752
77,emo_anx,-0.040139254930098026
173,Truth.Intensifier,-0.0368682086633143
41,we,-0.03542752516162906
48,number,-0.03192649473672658
125,auditory,-0.02102692547937715
139,QMark,-0.016862691373197434
122,motion,-0.01266611537607675
109,death,4.3292895907945844e-05
106,substances,8.454815911157678e-05
115,fatigue,0.00010202257095939442
155,Reassurance,0.00028181029163413905
68,certitude,0.0007465519477801584
47,article,0.006661955974362234
107,sexual,0.01084906164283613
33,WPS,0.020718947820158314
149,Could.You,0.022581847914019217
110,need,0.02906234467183699
71,Affect,0.033037223987650015
40,i,0.03529319352180639
46,det,0.03715191639421189
52,conj,0.03777453046238228
168,Subjectivity,0.038625775554511736
129,focuspresent,0.043541538208514294
44,they,0.04481728087468031
135,filler,0.05154816316926436
153,For.You,0.06133432019985978
5,familiarity_TA,0.07142519073285475
166,Disagreement,0.07443661351935146
100,money,0.07620699925632779
75,emo_pos,0.09390292378492068
112,acquire,0.09406213055577874
165,Agreement,0.09632566368495257
81,socbehav,0.1057883589584507
174,Affirmation,0.10816882231746976
26,we_TA,0.12272968270085603
114,fulfill,0.12466359077880498
58,affiliation,0.1259853190204974
171,Gratitude,0.13455466850927658
96,Lifestyle,0.13798318678968147
32,Tone,0.14000404666203492
42,you,0.16285100259626148
131,Conversation,0.1646014519464587
90,female,0.16731966351283903
94,ethnicity,0.1691741127837633
38,pronoun,0.17206399658039442
84,conflict,0.17435071388401183
175,Adverb.Limiter,0.18568781457307915
144,Impersonal.Pronoun,0.19369529583827602
25,they_TA,0.19390967759543495
11,anticipation_TA,0.19863713481969417
151,Let.Me.Know,0.19981277132858968
120,Perception,0.202976593808967
39,ppron,0.21761771293504223
70,memory,0.2288611273984003
92,Culture,0.23077672589368162
57,Drives,0.24271654737395895
132,netspeak,0.24294806075316921
12,disgust_TA,0.2542316670845875
118,curiosity,0.2593372570399557
143,Hedges,0.26530880625706627
49,prep,0.2907497301198623
72,tone_pos,0.29433103789011095
89,friend,0.29858252765685794
62,allnone,0.3017021003932281
133,assent,0.31630277411914115
54,verb,0.320394878323506
170,YesNo.Questions,0.33063630988668025
67,tentat,0.3329887003577038
95,tech,0.361788224643816
119,allure,0.3874048714651623
142,OtherP,0.3881591854802754
16,pos_sent_TA,0.3913224385979583
19,trust_TA,0.40546824249864966
69,differ,0.4059991539267157
121,attention,0.41064947106432803
18,surprise_TA,0.4156907340358775
82,prosocial,0.42003570171813426
134,nonflu,0.4413557602604933
65,cause,0.48483403913649026
66,discrep,0.5073122554842416
158,Hello,0.5118169395382474
76,emo_neg,0.5388071198627037
31,Authentic,0.5541247380668589
30,Clout,0.5554776754753749
137,Period,0.5598009925844872
97,leisure,0.5625641436677347
116,reward,0.5656567794332563
55,adj,0.5699739045334278
13,fear_TA,0.5788358232700842
85,moral,0.5816810593756813
6,emotionality_TA,0.5992542650955691
130,focusfuture,0.6448847328362018
24,s.he_TA,0.6604388394120175
99,work,0.6768781942590855
162,Second.Person,0.6791428326679466
102,Physical,0.6887118690872172
43,shehe,0.6997917444461935
8,valence..EL._TA,0.7461070782776519
164,Negative.Emotion,0.7491914326169209
152,For.Me,0.8821784822376115
161,First.Person.Single,0.9505233288921748
37,function.,0.9690576473303261
60,power,1.0190319554134186
83,polite,1.0862471436521501
163,Positive.Emotion,1.0985362157113137
1,arousal..ANEW._TA,1.1118009541066451
53,negate,1.782385443055506
172,Apology,4.101326332779754
